TOKEN	[CLS]	A	person	is	training	his	horse	for	a	competition	.	[SEP]
[CLS]	0.047898	0.130453	0.060914	0.116778	0.097204	0.064018	0.088246	0.073315	0.091222	0.083427	0.059663	0.086862
A	0.111857	0.093029	0.104815	0.076510	0.069436	0.065470	0.058764	0.076901	0.104599	0.070695	0.081992	0.085931
person	0.079754	0.087196	0.093063	0.087853	0.097534	0.074831	0.065881	0.087534	0.076316	0.069220	0.098294	0.082524
is	0.086154	0.114799	0.066405	0.078947	0.109776	0.081735	0.090126	0.076682	0.072221	0.079772	0.059163	0.084221
training	0.102013	0.080390	0.110091	0.081451	0.103357	0.078255	0.085262	0.091831	0.061958	0.051987	0.073121	0.080284
his	0.045549	0.071530	0.070567	0.130065	0.064312	0.095304	0.102572	0.115640	0.097290	0.063325	0.072534	0.071310
horse	0.092258	0.087197	0.076673	0.079253	0.116036	0.089764	0.075304	0.070690	0.075947	0.070884	0.087757	0.078235
for	0.081130	0.091064	0.073478	0.081020	0.101056	0.098673	0.077219	0.068025	0.085148	0.071338	0.064344	0.107505
a	0.126197	0.097145	0.083313	0.118339	0.054568	0.093665	0.076122	0.071718	0.082861	0.068154	0.061480	0.066438
competition	0.121341	0.090128	0.080330	0.077505	0.061645	0.099475	0.083217	0.079128	0.069304	0.063165	0.079817	0.094944
.	0.076536	0.097586	0.083599	0.101659	0.098271	0.063554	0.084862	0.067438	0.110499	0.053152	0.081794	0.081050
[SEP]	0.100578	0.101081	0.076016	0.090476	0.078304	0.081241	0.090538	0.088791	0.085093	0.060875	0.077252	0.069755
