TOKEN	[CLS]	A	person	is	training	his	horse	for	a	competition	.	[SEP]
[CLS]	0.109759	0.088741	0.066342	0.112195	0.066113	0.064401	0.061697	0.076885	0.119105	0.111773	0.069196	0.053793
A	0.090201	0.087049	0.082596	0.115380	0.064873	0.057808	0.080499	0.064133	0.130962	0.092795	0.073120	0.060584
person	0.076898	0.087521	0.078403	0.100684	0.063829	0.069587	0.103553	0.069302	0.100657	0.090049	0.074874	0.084642
is	0.078835	0.102051	0.100367	0.105875	0.052980	0.071127	0.086866	0.063760	0.104156	0.092984	0.074050	0.066948
training	0.081915	0.076661	0.100442	0.106663	0.062967	0.059734	0.083825	0.090438	0.080012	0.095347	0.087495	0.074501
his	0.102051	0.097282	0.084219	0.109976	0.077396	0.068814	0.085591	0.059981	0.078772	0.098634	0.087172	0.050112
horse	0.124644	0.069752	0.105246	0.084559	0.055748	0.076449	0.073871	0.070905	0.093206	0.095278	0.090108	0.060235
for	0.089306	0.087114	0.076375	0.106676	0.069052	0.060556	0.092968	0.067825	0.096793	0.113579	0.080269	0.059487
a	0.134875	0.062199	0.110776	0.074442	0.058602	0.078105	0.074952	0.090071	0.073763	0.077571	0.091917	0.072727
competition	0.094722	0.057756	0.073722	0.102246	0.087668	0.071782	0.110980	0.058702	0.079052	0.084088	0.090520	0.088761
.	0.090913	0.083003	0.084205	0.106664	0.068507	0.060335	0.101513	0.067071	0.121345	0.085186	0.063810	0.067448
[SEP]	0.112702	0.074131	0.080863	0.090728	0.078196	0.070616	0.099096	0.072673	0.091151	0.097045	0.075852	0.056946
