TOKEN	[CLS]	A	person	is	training	his	horse	for	a	competition	.	[SEP]
[CLS]	0.082390	0.070622	0.069925	0.082963	0.109401	0.075706	0.080459	0.097120	0.079122	0.075910	0.077692	0.098689
A	0.077276	0.074189	0.099013	0.075914	0.111694	0.085967	0.091562	0.098731	0.087757	0.068291	0.062678	0.066929
person	0.086476	0.073096	0.093780	0.061158	0.094431	0.092545	0.072234	0.111820	0.086513	0.063559	0.079548	0.084839
is	0.089526	0.060926	0.110368	0.072805	0.109114	0.083425	0.101207	0.081267	0.084745	0.054351	0.089582	0.062684
training	0.093201	0.093387	0.076052	0.056150	0.129643	0.079675	0.091838	0.079484	0.084415	0.066212	0.089217	0.060728
his	0.087365	0.067858	0.110345	0.071530	0.092520	0.068240	0.090991	0.082363	0.109021	0.062206	0.075796	0.081763
horse	0.077347	0.092668	0.094096	0.062030	0.088331	0.080686	0.100445	0.092831	0.081538	0.064488	0.077771	0.087768
for	0.082549	0.088398	0.086348	0.075176	0.087735	0.073802	0.070785	0.115045	0.088494	0.068222	0.074726	0.088721
a	0.095193	0.078546	0.096621	0.072224	0.097934	0.071815	0.097030	0.084198	0.072406	0.063186	0.075657	0.095188
competition	0.079610	0.067633	0.102419	0.064337	0.093355	0.091661	0.095481	0.088888	0.085194	0.085230	0.079173	0.067021
.	0.067666	0.076646	0.091382	0.062826	0.114044	0.093617	0.063503	0.074376	0.107381	0.081363	0.100283	0.066912
[SEP]	0.094132	0.072724	0.086158	0.064578	0.103372	0.079752	0.116115	0.078618	0.088928	0.068419	0.073426	0.073778
