TOKEN	[CLS]	A	person	is	training	his	horse	for	a	competition	.	[SEP]
[CLS]	0.091203	0.094668	0.066124	0.074611	0.048491	0.083099	0.078764	0.099679	0.059741	0.100513	0.114532	0.088575
A	0.093819	0.108702	0.069226	0.051482	0.060610	0.103704	0.119100	0.074637	0.066055	0.076755	0.099989	0.075923
person	0.092544	0.093176	0.067904	0.071751	0.064622	0.109025	0.083169	0.086711	0.055684	0.088130	0.102076	0.085209
is	0.093018	0.084126	0.089229	0.079667	0.103045	0.086718	0.079584	0.083434	0.062980	0.078077	0.092201	0.067921
training	0.078347	0.093329	0.077195	0.069632	0.099079	0.084024	0.065133	0.082976	0.085303	0.086079	0.098052	0.080852
his	0.096582	0.102375	0.067248	0.060362	0.059161	0.098863	0.104499	0.082049	0.060748	0.093623	0.105113	0.069375
horse	0.093577	0.091171	0.073765	0.067663	0.091129	0.085651	0.101836	0.071138	0.065093	0.068760	0.100416	0.089800
for	0.085621	0.084916	0.077375	0.068644	0.085891	0.093210	0.100953	0.081821	0.077919	0.071284	0.096093	0.076272
a	0.080230	0.092288	0.080797	0.074901	0.096067	0.080603	0.086344	0.075346	0.072496	0.071622	0.102889	0.086418
competition	0.094639	0.079374	0.071746	0.058279	0.064773	0.083671	0.100379	0.106437	0.083261	0.082608	0.072267	0.102566
.	0.077625	0.079636	0.079219	0.080255	0.097650	0.085209	0.092002	0.106976	0.063250	0.072150	0.092491	0.073538
[SEP]	0.079492	0.103510	0.075857	0.060677	0.091968	0.118831	0.081581	0.071874	0.061119	0.064346	0.104139	0.086606
