TOKEN	[CLS]	A	person	is	training	his	horse	for	a	competition	.	[SEP]
[CLS]	0.125397	0.054734	0.071746	0.094375	0.079823	0.078988	0.089689	0.066278	0.096631	0.099777	0.079829	0.062733
A	0.071701	0.075415	0.100272	0.090082	0.082342	0.095976	0.120943	0.081671	0.068822	0.078035	0.070016	0.064724
person	0.099213	0.070769	0.091620	0.077642	0.060545	0.082883	0.130397	0.082833	0.095286	0.082488	0.073951	0.052374
is	0.080768	0.061423	0.087248	0.071159	0.055562	0.096853	0.099911	0.090048	0.104439	0.095423	0.096918	0.060247
training	0.087658	0.051318	0.085363	0.094919	0.077545	0.103348	0.127029	0.074272	0.094027	0.062888	0.086113	0.055521
his	0.097465	0.051628	0.117892	0.100627	0.062581	0.084850	0.095767	0.095699	0.073741	0.095554	0.074525	0.049672
horse	0.075216	0.059769	0.102226	0.104408	0.075593	0.110039	0.131177	0.074489	0.075227	0.063362	0.075582	0.052911
for	0.086026	0.078061	0.078939	0.096302	0.078067	0.098441	0.100069	0.109841	0.085546	0.060921	0.081812	0.045976
a	0.060975	0.081249	0.085214	0.086827	0.081741	0.088165	0.097041	0.100574	0.082813	0.062226	0.098067	0.075110
competition	0.058373	0.078900	0.067643	0.110048	0.078372	0.090063	0.092813	0.103720	0.082151	0.077581	0.097314	0.063023
.	0.074826	0.053597	0.079879	0.103594	0.074037	0.098449	0.144828	0.065995	0.064388	0.077371	0.093515	0.069520
[SEP]	0.100764	0.055081	0.076819	0.096275	0.050264	0.077033	0.136500	0.107221	0.084153	0.070320	0.089415	0.056154
