TOKEN	[CLS]	A	person	is	training	his	horse	for	a	competition	.	[SEP]
[CLS]	0.069062	0.060437	0.153266	0.081294	0.061259	0.088229	0.078586	0.061344	0.090337	0.091144	0.086112	0.078929
A	0.087467	0.082871	0.087588	0.105436	0.058314	0.082065	0.082153	0.062916	0.081704	0.088095	0.107717	0.073674
person	0.101767	0.072234	0.107809	0.079160	0.079058	0.080911	0.082176	0.066794	0.053540	0.091772	0.088128	0.096651
is	0.068903	0.081878	0.120988	0.094302	0.074149	0.064866	0.080111	0.111873	0.072671	0.091633	0.062836	0.075792
training	0.058486	0.069024	0.085268	0.104133	0.071360	0.077541	0.071690	0.090174	0.073626	0.098961	0.071698	0.128038
his	0.119722	0.078879	0.096849	0.100930	0.091827	0.085788	0.080068	0.074752	0.068171	0.063986	0.080372	0.058656
horse	0.083288	0.079364	0.121254	0.072582	0.066908	0.070814	0.098172	0.078459	0.093058	0.094524	0.072162	0.069416
for	0.074704	0.055769	0.120242	0.118928	0.058965	0.091317	0.078745	0.087430	0.071201	0.085214	0.091825	0.065661
a	0.064059	0.074627	0.104638	0.065434	0.055228	0.071356	0.078484	0.055913	0.114922	0.124882	0.102696	0.087759
competition	0.075397	0.082082	0.096622	0.095114	0.063937	0.102934	0.097312	0.068470	0.091661	0.099576	0.064819	0.062077
.	0.077678	0.073419	0.137491	0.082930	0.078895	0.062795	0.087491	0.078996	0.086094	0.089767	0.072677	0.071769
[SEP]	0.088964	0.094025	0.089618	0.104094	0.063408	0.082345	0.059484	0.077875	0.070242	0.100378	0.077056	0.092512
