TOKEN	[CLS]	A	person	is	training	his	horse	for	a	competition	.	[SEP]
[CLS]	0.073422	0.094964	0.140796	0.074039	0.095534	0.103748	0.071437	0.082334	0.037692	0.098647	0.043628	0.083757
A	0.080691	0.108454	0.083037	0.092247	0.067519	0.099554	0.062841	0.069200	0.070253	0.119199	0.072854	0.074151
person	0.078589	0.067400	0.096900	0.090591	0.085178	0.138792	0.060001	0.097022	0.049395	0.095480	0.053845	0.086807
is	0.070416	0.099780	0.119153	0.090288	0.068761	0.101420	0.067609	0.068305	0.056442	0.096563	0.059783	0.101480
training	0.081463	0.089576	0.097081	0.072368	0.079661	0.120957	0.069070	0.083229	0.075117	0.080045	0.066132	0.085301
his	0.090056	0.074488	0.087226	0.101505	0.086057	0.113407	0.060734	0.072114	0.067564	0.082740	0.050711	0.113400
horse	0.105131	0.059810	0.064866	0.113870	0.100143	0.094497	0.106926	0.067840	0.049865	0.073177	0.089980	0.073896
for	0.092582	0.076892	0.099838	0.081786	0.091387	0.100338	0.071168	0.106099	0.053626	0.089015	0.060918	0.076350
a	0.063940	0.096962	0.088301	0.109674	0.077427	0.114275	0.065050	0.085042	0.051916	0.114286	0.046921	0.086206
competition	0.087185	0.078198	0.095229	0.086963	0.089089	0.152499	0.060305	0.072967	0.052700	0.094370	0.047075	0.083421
.	0.084574	0.087362	0.098312	0.074641	0.098277	0.135156	0.058625	0.083468	0.046510	0.093679	0.044617	0.094779
[SEP]	0.077332	0.095804	0.103415	0.083371	0.083291	0.114321	0.071105	0.096870	0.048072	0.078533	0.049229	0.098658
