TOKEN	[CLS]	A	person	is	training	his	horse	for	a	competition	.	[SEP]
[CLS]	0.078163	0.052457	0.092583	0.054066	0.076213	0.091172	0.123159	0.083736	0.096196	0.082790	0.086517	0.082948
A	0.097103	0.067734	0.074916	0.049683	0.080100	0.088052	0.110396	0.103892	0.067213	0.085850	0.093430	0.081632
person	0.055478	0.079389	0.100750	0.056591	0.061891	0.088595	0.105466	0.097903	0.066439	0.109260	0.092641	0.085597
is	0.084973	0.070806	0.078423	0.049057	0.085616	0.082511	0.099959	0.082228	0.108893	0.101113	0.065592	0.090827
training	0.074540	0.060111	0.101291	0.050185	0.071549	0.096646	0.081839	0.078447	0.098408	0.085381	0.107229	0.094375
his	0.082994	0.079088	0.056414	0.063894	0.083907	0.095690	0.111545	0.068009	0.074481	0.094875	0.104029	0.085075
horse	0.087147	0.063616	0.068240	0.070634	0.080736	0.094655	0.107339	0.084243	0.083621	0.083941	0.090645	0.085183
for	0.063494	0.065358	0.078598	0.052435	0.093824	0.060554	0.093296	0.118345	0.074083	0.098586	0.092363	0.109065
a	0.072060	0.079803	0.072695	0.056697	0.078375	0.105196	0.109965	0.082699	0.078918	0.083855	0.090330	0.089408
competition	0.043436	0.066261	0.089353	0.046764	0.069235	0.089794	0.139334	0.089837	0.088955	0.114055	0.090204	0.072771
.	0.085820	0.068490	0.082575	0.063089	0.072198	0.092105	0.117303	0.092403	0.075151	0.070443	0.089440	0.090983
[SEP]	0.068795	0.082508	0.085519	0.056316	0.079399	0.075970	0.081968	0.090287	0.112833	0.080834	0.078532	0.107039
