TOKEN	[CLS]	A	person	is	training	his	horse	for	a	competition	.	[SEP]
[CLS]	0.120412	0.072373	0.090117	0.095451	0.065924	0.079246	0.076739	0.070404	0.123192	0.067752	0.063337	0.075054
A	0.092780	0.082366	0.076606	0.110079	0.091890	0.082715	0.100587	0.066826	0.082319	0.079927	0.053556	0.080351
person	0.086466	0.125810	0.079059	0.075981	0.058511	0.099935	0.082348	0.068525	0.102997	0.090952	0.069397	0.060018
is	0.112007	0.101310	0.087980	0.104320	0.102207	0.094147	0.066885	0.055327	0.079697	0.075032	0.064446	0.056641
training	0.102548	0.078469	0.089931	0.102258	0.071225	0.109157	0.078334	0.083795	0.079769	0.077600	0.057397	0.069517
his	0.113166	0.076718	0.075001	0.074011	0.086319	0.089083	0.102044	0.073311	0.092095	0.063979	0.077042	0.077231
horse	0.095710	0.070574	0.111889	0.082511	0.087206	0.077101	0.070416	0.061598	0.105494	0.067227	0.071704	0.098569
for	0.086328	0.061949	0.067898	0.070132	0.103035	0.089266	0.067931	0.079468	0.102274	0.085735	0.075687	0.110297
a	0.109664	0.090802	0.103948	0.083951	0.077078	0.075588	0.095102	0.053975	0.099736	0.074647	0.056353	0.079157
competition	0.092336	0.068991	0.079333	0.090167	0.090777	0.072066	0.065761	0.071791	0.110501	0.117154	0.078313	0.062810
.	0.099961	0.076526	0.087541	0.084035	0.094969	0.082209	0.084493	0.069357	0.093955	0.100269	0.060117	0.066567
[SEP]	0.107140	0.069046	0.107679	0.100624	0.092609	0.080288	0.070074	0.054555	0.107251	0.078202	0.060768	0.071765
