TOKEN	[CLS]	A	person	is	training	his	horse	for	a	competition	.	[SEP]
[CLS]	0.075626	0.079985	0.060344	0.082867	0.068736	0.098204	0.072989	0.075947	0.078140	0.114473	0.100918	0.091770
A	0.069333	0.077344	0.056273	0.086675	0.065660	0.083293	0.075745	0.109880	0.083807	0.070177	0.101928	0.119885
person	0.092729	0.068069	0.062559	0.084293	0.113353	0.071501	0.061496	0.089623	0.091943	0.081241	0.104974	0.078219
is	0.083515	0.062998	0.054757	0.115184	0.069344	0.071348	0.064014	0.098790	0.076497	0.105373	0.105439	0.092740
training	0.062325	0.078293	0.072935	0.101557	0.083579	0.072922	0.057208	0.091267	0.088023	0.083681	0.112943	0.095266
his	0.079862	0.064490	0.056090	0.097803	0.079503	0.073022	0.058129	0.094807	0.082034	0.077284	0.123110	0.113868
horse	0.090829	0.078305	0.071180	0.100741	0.058625	0.082851	0.058073	0.105682	0.091244	0.084558	0.088356	0.089556
for	0.077593	0.070103	0.062331	0.108083	0.063347	0.056334	0.062467	0.127896	0.073937	0.081183	0.107452	0.109274
a	0.095548	0.063207	0.061213	0.122305	0.074885	0.067978	0.063806	0.083428	0.075127	0.087547	0.131565	0.073392
competition	0.075734	0.074578	0.075238	0.098280	0.104548	0.062175	0.051860	0.088151	0.088160	0.062579	0.117607	0.101090
.	0.085307	0.084238	0.062975	0.090778	0.081557	0.063065	0.081620	0.090685	0.068776	0.081657	0.113047	0.096296
[SEP]	0.094618	0.071012	0.055999	0.118496	0.074173	0.045340	0.057367	0.114527	0.094721	0.067379	0.105677	0.100692
