TOKEN	[CLS]	A	person	is	training	his	horse	for	a	competition	.	[SEP]
[CLS]	0.067765	0.068779	0.099842	0.124458	0.084312	0.108480	0.069019	0.065676	0.098176	0.061697	0.054141	0.097655
A	0.060350	0.050095	0.088113	0.106217	0.083792	0.112674	0.125203	0.060646	0.108254	0.055387	0.062749	0.086521
person	0.072415	0.078466	0.080710	0.100630	0.084945	0.084384	0.088216	0.075548	0.075566	0.065853	0.083303	0.109963
is	0.079268	0.096335	0.121638	0.100055	0.052916	0.118202	0.087224	0.059579	0.107282	0.053612	0.066119	0.057772
training	0.101859	0.108276	0.093735	0.075848	0.071370	0.082660	0.075747	0.078046	0.102463	0.054889	0.087173	0.067934
his	0.069089	0.066087	0.090371	0.098845	0.079490	0.118903	0.068565	0.065753	0.109053	0.078959	0.069067	0.085819
horse	0.072880	0.092837	0.094855	0.086588	0.061634	0.112436	0.082494	0.069254	0.105983	0.060403	0.070960	0.089675
for	0.087755	0.099861	0.091372	0.071538	0.057653	0.098741	0.083513	0.094939	0.113866	0.065069	0.073910	0.061783
a	0.081350	0.093125	0.075812	0.113270	0.064038	0.093089	0.077226	0.083181	0.101835	0.055336	0.079358	0.082380
competition	0.089243	0.087313	0.094544	0.064977	0.068186	0.099942	0.092685	0.081020	0.098567	0.076428	0.080534	0.066561
.	0.063368	0.051988	0.184352	0.076980	0.079289	0.095539	0.083996	0.066725	0.115421	0.053217	0.059875	0.069250
[SEP]	0.075580	0.093627	0.110518	0.082684	0.074193	0.094679	0.069479	0.079665	0.093643	0.065353	0.096086	0.064493
