TOKEN	[CLS]	A	person	is	training	his	horse	for	a	competition	.	[SEP]
[CLS]	0.094050	0.082428	0.084924	0.094392	0.067449	0.090103	0.092432	0.092967	0.077914	0.057801	0.089491	0.076050
A	0.078877	0.096067	0.089770	0.091947	0.061722	0.089643	0.065007	0.093364	0.078140	0.102767	0.081736	0.070958
person	0.076988	0.120659	0.097684	0.113549	0.061307	0.103130	0.075915	0.062838	0.073202	0.098408	0.066346	0.049975
is	0.054742	0.137555	0.094596	0.064095	0.096381	0.109448	0.060121	0.061646	0.103024	0.095215	0.057119	0.066056
training	0.080531	0.099196	0.076532	0.092996	0.062938	0.090409	0.079965	0.100756	0.100823	0.067652	0.077477	0.070726
his	0.111917	0.103710	0.053522	0.075507	0.041462	0.104542	0.119372	0.074856	0.067120	0.073890	0.083085	0.091017
horse	0.067597	0.102600	0.106393	0.080117	0.072508	0.079672	0.082328	0.092098	0.066913	0.099275	0.079859	0.070642
for	0.079593	0.099376	0.065018	0.097830	0.068102	0.107374	0.057991	0.070604	0.103779	0.110121	0.085858	0.054354
a	0.084056	0.108442	0.099097	0.076309	0.070692	0.103605	0.055806	0.095834	0.113780	0.078619	0.058871	0.054889
competition	0.064745	0.129916	0.081670	0.070247	0.079337	0.100735	0.053349	0.082502	0.111115	0.082004	0.077763	0.066618
.	0.076625	0.121360	0.063051	0.108885	0.047065	0.073427	0.089084	0.124767	0.053139	0.088547	0.089846	0.064205
[SEP]	0.070609	0.106981	0.099419	0.082301	0.062188	0.100224	0.065305	0.078787	0.090708	0.113730	0.068251	0.061497
