TOKEN	[CLS]	A	person	is	training	his	horse	for	a	competition	.	[SEP]
[CLS]	0.063525	0.089004	0.092534	0.082951	0.078283	0.069999	0.064588	0.100008	0.105429	0.085415	0.086061	0.082203
A	0.067207	0.082557	0.099080	0.076425	0.103482	0.082664	0.072618	0.051507	0.089576	0.096323	0.101179	0.077382
person	0.083880	0.084496	0.095389	0.077536	0.094407	0.064943	0.084614	0.086940	0.089901	0.069855	0.097029	0.071009
is	0.073012	0.092902	0.100393	0.063949	0.080447	0.083030	0.063032	0.067863	0.094231	0.110754	0.089951	0.080436
training	0.089261	0.070491	0.096964	0.081587	0.079120	0.093142	0.074382	0.080632	0.090780	0.100002	0.098177	0.045461
his	0.081205	0.088423	0.075597	0.089084	0.087879	0.073989	0.064316	0.086407	0.089406	0.097652	0.102486	0.063557
horse	0.068909	0.082381	0.087636	0.087687	0.079995	0.068337	0.059482	0.081081	0.097946	0.114614	0.089192	0.082740
for	0.063458	0.083970	0.119321	0.072249	0.095458	0.076884	0.067129	0.055053	0.104108	0.085077	0.081996	0.095297
a	0.084339	0.077433	0.094162	0.070246	0.097651	0.087070	0.074268	0.080817	0.091242	0.087130	0.089658	0.065984
competition	0.065634	0.075916	0.117795	0.082740	0.087032	0.098687	0.051434	0.066012	0.095778	0.090733	0.093990	0.074249
.	0.064592	0.088099	0.096287	0.075268	0.087253	0.079735	0.075268	0.086009	0.083763	0.088473	0.103637	0.071615
[SEP]	0.079794	0.086951	0.086634	0.075525	0.071913	0.084145	0.061846	0.063643	0.099661	0.110260	0.086982	0.092645
