TOKEN	[CLS]	A	person	is	training	his	horse	for	a	competition	.	[SEP]
[CLS]	0.005214	0.248479	0.091561	0.051935	0.073947	0.049424	0.027676	0.064424	0.094693	0.019480	0.234865	0.038302
A	0.005076	0.008650	0.031943	0.059587	0.031376	0.048721	0.113910	0.101520	0.176386	0.071175	0.337719	0.013938
person	0.029619	0.029087	0.019656	0.061994	0.026779	0.052125	0.118104	0.055749	0.158989	0.048777	0.339044	0.060079
is	0.028075	0.049274	0.038263	0.023215	0.028995	0.075847	0.111878	0.054294	0.154165	0.043108	0.358627	0.034260
training	0.008194	0.051446	0.020903	0.035217	0.008146	0.055925	0.039671	0.107448	0.275922	0.011688	0.360083	0.025358
his	0.011431	0.046428	0.061946	0.083426	0.085518	0.034386	0.159130	0.076283	0.092344	0.080183	0.185329	0.083596
horse	0.020015	0.093031	0.028447	0.099551	0.007206	0.072708	0.021356	0.178223	0.212596	0.013181	0.154214	0.099471
for	0.019335	0.101445	0.037084	0.060882	0.021295	0.060388	0.090560	0.071718	0.165528	0.040557	0.182354	0.148854
a	0.017826	0.083195	0.065955	0.096404	0.030498	0.056519	0.132570	0.077312	0.106362	0.058394	0.195503	0.079462
competition	0.026677	0.069489	0.047467	0.078305	0.022311	0.104417	0.137899	0.066567	0.154729	0.021713	0.204987	0.065440
.	0.015897	0.067052	0.078833	0.059567	0.059499	0.072573	0.200495	0.038934	0.050817	0.128237	0.150801	0.077295
[SEP]	0.088358	0.017604	0.011511	0.014238	0.024322	0.015307	0.008532	0.016966	0.005276	0.013779	0.012968	0.771141
