TOKEN	[CLS]	A	person	is	training	his	horse	for	a	competition	.	[SEP]
[CLS]	0.023499	0.102984	0.069975	0.296670	0.028843	0.011019	0.008236	0.039697	0.060871	0.025109	0.153049	0.180050
A	0.019109	0.081272	0.052809	0.259838	0.020592	0.004389	0.019846	0.015720	0.013263	0.037636	0.005990	0.469537
person	0.011352	0.008458	0.071378	0.023146	0.024224	0.001107	0.199653	0.001710	0.001020	0.101858	0.001560	0.554534
is	0.010639	0.023967	0.019039	0.153951	0.041390	0.003353	0.012791	0.021597	0.007456	0.034578	0.002416	0.668823
training	0.002254	0.002146	0.013198	0.009640	0.333797	0.000574	0.052000	0.006504	0.000372	0.040775	0.000361	0.538379
his	0.006710	0.009426	0.062502	0.011876	0.027258	0.003152	0.070358	0.010610	0.003115	0.137925	0.002333	0.654734
horse	0.008072	0.003730	0.026110	0.006094	0.026091	0.002176	0.087946	0.000870	0.000559	0.017465	0.001928	0.818958
for	0.006380	0.003734	0.011862	0.038833	0.222995	0.006370	0.010944	0.007065	0.008357	0.068707	0.001241	0.613513
a	0.010610	0.007736	0.018057	0.026382	0.090105	0.003191	0.023681	0.039150	0.016807	0.176601	0.002237	0.585442
competition	0.004371	0.000712	0.004685	0.001665	0.031657	0.000345	0.064206	0.003356	0.000722	0.066324	0.000962	0.820996
.	0.016853	0.022857	0.017284	0.048209	0.006670	0.008684	0.004927	0.003063	0.007854	0.017000	0.014221	0.832378
[SEP]	0.001899	0.000953	0.000882	0.000743	0.000919	0.000538	0.001814	0.000325	0.000393	0.001331	0.000969	0.989235
