TOKEN	[CLS]	A	person	is	training	his	horse	for	a	competition	.	[SEP]
[CLS]	0.012267	0.012423	0.007056	0.018073	0.005124	0.007964	0.002483	0.001601	0.003211	0.006593	0.012428	0.910776
A	0.004734	0.018585	0.002991	0.009705	0.002129	0.001524	0.000923	0.004032	0.001157	0.001829	0.011315	0.941077
person	0.004111	0.095615	0.001320	0.008029	0.118973	0.003345	0.000184	0.001789	0.000301	0.001122	0.011025	0.754185
is	0.017836	0.453312	0.046681	0.012283	0.000562	0.011718	0.000210	0.002045	0.001242	0.001682	0.028116	0.424313
training	0.035370	0.102616	0.181271	0.114793	0.001672	0.045581	0.002218	0.002282	0.007718	0.121859	0.093599	0.291021
his	0.060822	0.145700	0.185539	0.057618	0.042028	0.025134	0.015172	0.004359	0.001728	0.003372	0.082766	0.375761
horse	0.031212	0.004256	0.001122	0.002455	0.664848	0.081346	0.033170	0.001584	0.001662	0.015844	0.034458	0.128045
for	0.021183	0.002950	0.001612	0.019735	0.911203	0.003346	0.012188	0.000322	0.000968	0.005792	0.013276	0.007426
a	0.070157	0.081704	0.008056	0.169288	0.154678	0.077799	0.009702	0.172373	0.014763	0.022650	0.067733	0.151096
competition	0.086422	0.013470	0.007564	0.241118	0.014213	0.079370	0.021837	0.139279	0.066542	0.006655	0.128623	0.194908
.	0.017010	0.027109	0.005885	0.032352	0.008907	0.013207	0.013554	0.011520	0.010754	0.018766	0.024376	0.816559
[SEP]	0.002430	0.005380	0.002817	0.005294	0.002218	0.001256	0.000919	0.002157	0.000791	0.002731	0.002407	0.971600
