TOKEN	[CLS]	A	person	is	training	his	horse	for	a	competition	.	[SEP]
[CLS]	0.083892	0.013388	0.043422	0.056613	0.009606	0.005138	0.025614	0.021449	0.022156	0.045013	0.035435	0.638273
A	0.014108	0.050633	0.045080	0.199742	0.123745	0.073719	0.012311	0.042938	0.087777	0.036102	0.135774	0.178071
person	0.021433	0.033373	0.017779	0.071684	0.144836	0.048615	0.013103	0.039187	0.080715	0.024344	0.174540	0.330390
is	0.019780	0.044455	0.030321	0.010444	0.032570	0.013448	0.020814	0.063998	0.169691	0.075551	0.346618	0.172310
training	0.018228	0.024669	0.007570	0.012111	0.012811	0.022217	0.051076	0.204481	0.135692	0.060410	0.220805	0.229929
his	0.010401	0.022182	0.008046	0.007864	0.004118	0.013756	0.042330	0.151459	0.184067	0.059725	0.254104	0.241947
horse	0.013325	0.005253	0.000207	0.001632	0.001408	0.004347	0.005538	0.133309	0.066586	0.018653	0.130453	0.619289
for	0.014062	0.025518	0.005669	0.002069	0.003230	0.005261	0.009149	0.025959	0.044766	0.088101	0.220159	0.556057
a	0.008189	0.029397	0.002230	0.001196	0.001171	0.003636	0.003144	0.007198	0.023190	0.046937	0.253442	0.620271
competition	0.015844	0.016416	0.000769	0.001203	0.001527	0.001191	0.001590	0.006438	0.015364	0.014279	0.170862	0.754517
.	0.023372	0.020591	0.014629	0.012606	0.004352	0.002922	0.004620	0.003750	0.006890	0.015087	0.048237	0.842943
[SEP]	0.015944	0.003432	0.000509	0.001306	0.000940	0.001247	0.002447	0.002906	0.003502	0.003346	0.014390	0.950030
