TOKEN	[CLS]	A	person	is	training	his	horse	for	a	competition	.	[SEP]
[CLS]	0.219827	0.118562	0.053812	0.155162	0.031099	0.134542	0.069707	0.017659	0.083385	0.050163	0.036147	0.029935
A	0.012463	0.025634	0.007813	0.017481	0.015377	0.011508	0.090183	0.002342	0.006704	0.018659	0.006792	0.785043
person	0.047096	0.049061	0.080607	0.034691	0.013131	0.066486	0.088421	0.016877	0.023772	0.035953	0.009907	0.533999
is	0.018850	0.016953	0.016074	0.021753	0.011133	0.013362	0.074498	0.002272	0.004222	0.016841	0.003969	0.800073
training	0.009273	0.006743	0.011610	0.010064	0.018980	0.008103	0.031281	0.010201	0.004450	0.030520	0.002460	0.856315
his	0.010308	0.007120	0.017249	0.007939	0.020517	0.025476	0.063612	0.011178	0.011754	0.039659	0.004590	0.780596
horse	0.033568	0.026462	0.035675	0.020255	0.017464	0.024607	0.036519	0.015543	0.012266	0.032132	0.010729	0.734781
for	0.001014	0.000427	0.003245	0.000600	0.001692	0.001228	0.022574	0.001666	0.000219	0.003481	0.000399	0.963456
a	0.007310	0.004916	0.013440	0.004425	0.011154	0.009307	0.101606	0.003166	0.002606	0.022386	0.001469	0.818214
competition	0.022775	0.008379	0.023944	0.008279	0.008422	0.016722	0.054004	0.011404	0.005825	0.037440	0.002764	0.800043
.	0.050621	0.046754	0.015229	0.026003	0.009675	0.011892	0.031857	0.008058	0.008816	0.019474	0.020136	0.751484
[SEP]	0.087522	0.095017	0.075267	0.097504	0.065867	0.089671	0.072186	0.058834	0.073316	0.064775	0.102169	0.117872
