TOKEN	[CLS]	A	person	is	training	his	horse	for	a	competition	.	[SEP]
[CLS]	0.584655	0.021779	0.012034	0.019864	0.022717	0.025691	0.013901	0.017416	0.019480	0.014714	0.053925	0.193823
A	0.868643	0.004565	0.011809	0.003157	0.001009	0.000210	0.000018	0.000179	0.000065	0.000071	0.002352	0.107920
person	0.165818	0.680431	0.015675	0.012644	0.003085	0.018209	0.000306	0.000208	0.000346	0.000463	0.004823	0.097992
is	0.482619	0.019616	0.268793	0.008755	0.024953	0.005083	0.003197	0.001073	0.000087	0.000172	0.011682	0.173972
training	0.587083	0.009674	0.032320	0.119418	0.002073	0.008943	0.006298	0.016714	0.002131	0.000105	0.010760	0.204481
his	0.375708	0.005265	0.017575	0.039441	0.243069	0.015416	0.010388	0.024792	0.007506	0.001326	0.006002	0.253511
horse	0.410630	0.000641	0.000415	0.002297	0.025359	0.354458	0.005347	0.024188	0.004677	0.004230	0.034800	0.132958
for	0.283705	0.000950	0.001271	0.005047	0.279767	0.023826	0.042084	0.017397	0.006253	0.013497	0.100568	0.225636
a	0.121052	0.000067	0.001155	0.004295	0.017400	0.004952	0.005668	0.675346	0.018793	0.005890	0.057358	0.088023
competition	0.083671	0.000771	0.000008	0.000960	0.001018	0.007174	0.003666	0.114732	0.695870	0.004931	0.036519	0.050681
.	0.330760	0.007053	0.003522	0.002394	0.003928	0.021614	0.025134	0.049230	0.096029	0.145427	0.141240	0.173669
[SEP]	0.771644	0.003983	0.004930	0.007712	0.005254	0.009009	0.003112	0.022126	0.004556	0.004546	0.069660	0.093469
