TOKEN	[CLS]	A	person	is	training	his	horse	for	a	competition	.	[SEP]
[CLS]	0.022135	0.129547	0.089894	0.158195	0.085153	0.058435	0.055772	0.032883	0.045954	0.051688	0.045556	0.224787
A	0.179836	0.023028	0.013749	0.020799	0.019523	0.022394	0.043103	0.019529	0.013176	0.008318	0.081015	0.555530
person	0.092061	0.012601	0.003370	0.014769	0.019533	0.006177	0.057650	0.010181	0.004692	0.013280	0.049051	0.716635
is	0.231527	0.042008	0.015447	0.012943	0.024153	0.004033	0.014373	0.059211	0.022111	0.022354	0.112586	0.439254
training	0.151242	0.032173	0.018812	0.034089	0.011031	0.003820	0.017537	0.105003	0.050397	0.042360	0.078522	0.455014
his	0.195806	0.029967	0.018944	0.011678	0.013150	0.003629	0.022144	0.016318	0.008727	0.012497	0.046062	0.621079
horse	0.073022	0.023241	0.241927	0.006131	0.002905	0.004316	0.031693	0.007200	0.008076	0.024755	0.044427	0.532308
for	0.097622	0.018775	0.032229	0.016228	0.088120	0.003968	0.034520	0.012813	0.014676	0.037082	0.043728	0.600238
a	0.267904	0.032806	0.013737	0.019939	0.078239	0.003438	0.034249	0.031847	0.010891	0.031722	0.097076	0.378152
competition	0.109207	0.009109	0.015561	0.009426	0.035977	0.001327	0.069672	0.011479	0.006657	0.010083	0.037166	0.684337
.	0.402110	0.031311	0.007308	0.007336	0.004700	0.001628	0.008683	0.015972	0.012199	0.018405	0.079198	0.411150
[SEP]	0.011259	0.000703	0.001733	0.001372	0.000838	0.000394	0.006898	0.002273	0.001808	0.001313	0.010207	0.961200
