TOKEN	[CLS]	A	person	is	training	his	horse	for	a	competition	.	[SEP]
[CLS]	0.026351	0.181327	0.032454	0.081140	0.017586	0.016643	0.012695	0.024875	0.078177	0.007251	0.461214	0.060287
A	0.098034	0.205866	0.023055	0.072820	0.015155	0.013555	0.009241	0.016459	0.041112	0.005519	0.173259	0.325924
person	0.031023	0.128321	0.011413	0.069765	0.012224	0.008046	0.004531	0.005615	0.009279	0.001683	0.045741	0.672359
is	0.194413	0.165208	0.051434	0.031341	0.014758	0.022086	0.009582	0.003190	0.012816	0.005424	0.113279	0.376471
training	0.097805	0.184247	0.067789	0.080957	0.024563	0.038138	0.015608	0.007728	0.015947	0.007775	0.073781	0.385662
his	0.076036	0.156044	0.025888	0.105682	0.058118	0.040166	0.006812	0.004399	0.014094	0.002484	0.049661	0.460615
horse	0.068132	0.128451	0.028378	0.074627	0.018556	0.024263	0.007875	0.004879	0.011115	0.001582	0.011446	0.620696
for	0.026497	0.170725	0.055941	0.215408	0.211369	0.043074	0.014127	0.025159	0.054100	0.012063	0.029816	0.141723
a	0.026537	0.502412	0.028436	0.312020	0.017848	0.018697	0.002475	0.008697	0.020724	0.000671	0.045569	0.015914
competition	0.034972	0.107629	0.030228	0.110426	0.121296	0.036144	0.036784	0.028402	0.033474	0.011364	0.026830	0.422449
.	0.359267	0.193218	0.013645	0.072821	0.004906	0.005260	0.002217	0.005467	0.014035	0.001433	0.061599	0.266129
[SEP]	0.041863	0.008213	0.003963	0.003921	0.004123	0.002981	0.006708	0.004298	0.011119	0.004843	0.006307	0.901661
