TOKEN	[CLS]	A	person	is	training	his	horse	for	a	competition	.	[SEP]
[CLS]	0.131607	0.044557	0.111859	0.111738	0.089781	0.082169	0.094105	0.044850	0.035844	0.061126	0.121370	0.070993
A	0.094999	0.247558	0.015271	0.009406	0.013784	0.022689	0.003350	0.004929	0.186101	0.006396	0.123296	0.272220
person	0.157248	0.058730	0.000847	0.011781	0.024430	0.033646	0.004338	0.012515	0.049211	0.006521	0.084337	0.556395
is	0.155861	0.075074	0.003849	0.037289	0.017266	0.025835	0.004724	0.010270	0.081842	0.011926	0.086095	0.489967
training	0.160432	0.035808	0.004085	0.013772	0.020383	0.028537	0.009172	0.022998	0.039630	0.046740	0.139424	0.479018
his	0.128184	0.152940	0.005482	0.020259	0.040072	0.066525	0.002859	0.026779	0.083657	0.009350	0.072112	0.391780
horse	0.209876	0.016955	0.004745	0.005478	0.010096	0.036896	0.059106	0.012724	0.040850	0.007760	0.098798	0.496717
for	0.152508	0.048889	0.000756	0.008585	0.008027	0.006377	0.001627	0.291308	0.070730	0.009043	0.051228	0.350921
a	0.098676	0.170928	0.005863	0.006000	0.012103	0.014009	0.004777	0.014409	0.263439	0.010738	0.062216	0.336842
competition	0.153173	0.043886	0.001453	0.007315	0.049325	0.012301	0.033875	0.060954	0.060616	0.090709	0.102442	0.383950
.	0.218717	0.028444	0.044325	0.020769	0.021148	0.012815	0.029629	0.016562	0.038178	0.023940	0.299092	0.246381
[SEP]	0.040933	0.012184	0.040228	0.006619	0.011478	0.004602	0.009886	0.010038	0.009921	0.010348	0.017051	0.826714
