TOKEN	[CLS]	A	person	is	training	his	horse	for	a	competition	.	[SEP]
[CLS]	0.005815	0.187367	0.043575	0.258383	0.044416	0.021094	0.018647	0.066783	0.041034	0.043145	0.102458	0.167282
A	0.028010	0.498794	0.041874	0.216897	0.005676	0.025470	0.009462	0.005394	0.024605	0.017278	0.036128	0.090412
person	0.061604	0.141550	0.084603	0.073967	0.007349	0.012679	0.022395	0.009630	0.018454	0.043038	0.026156	0.498577
is	0.068890	0.262907	0.059038	0.231632	0.011375	0.055819	0.018026	0.015439	0.061632	0.024580	0.046248	0.144416
training	0.029721	0.004157	0.006907	0.006929	0.039580	0.002333	0.059986	0.008517	0.002465	0.044967	0.001847	0.792591
his	0.104224	0.065908	0.031576	0.095012	0.017270	0.050145	0.058400	0.009408	0.018577	0.080389	0.019089	0.450002
horse	0.041160	0.000940	0.001409	0.002013	0.003595	0.000787	0.049261	0.000509	0.000203	0.007521	0.000630	0.891972
for	0.021437	0.014076	0.009615	0.028213	0.024101	0.008862	0.068510	0.011309	0.009232	0.114874	0.001968	0.687804
a	0.074470	0.220228	0.053234	0.269717	0.017952	0.016035	0.036475	0.019402	0.065541	0.103417	0.015377	0.108153
competition	0.105503	0.013198	0.019377	0.015900	0.020212	0.005219	0.149879	0.004520	0.006817	0.211497	0.002822	0.445055
.	0.082789	0.347477	0.021674	0.065717	0.006157	0.017970	0.009555	0.006256	0.016328	0.020807	0.095233	0.310037
[SEP]	0.006667	0.002662	0.000880	0.003855	0.003918	0.001392	0.002448	0.002003	0.001932	0.001228	0.046347	0.926667
