TOKEN	[CLS]	A	person	is	training	his	horse	for	a	competition	.	[SEP]
[CLS]	0.135134	0.003675	0.008219	0.029251	0.018980	0.004180	0.007106	0.012753	0.004294	0.016450	0.011674	0.748284
A	0.052032	0.016189	0.273170	0.117439	0.115883	0.017560	0.014036	0.041400	0.002258	0.003960	0.038989	0.307084
person	0.009008	0.019156	0.003745	0.009547	0.025768	0.009970	0.003416	0.012815	0.005842	0.001971	0.018818	0.879945
is	0.051201	0.011630	0.002807	0.006779	0.371801	0.064821	0.015490	0.198197	0.035824	0.003960	0.049055	0.188435
training	0.030174	0.016571	0.002487	0.003835	0.010034	0.074938	0.400331	0.090497	0.039869	0.001183	0.054338	0.275745
his	0.011003	0.000602	0.000119	0.001551	0.007076	0.007718	0.877239	0.018091	0.002176	0.001186	0.017728	0.055512
horse	0.001606	0.001385	0.000119	0.000130	0.000160	0.003299	0.006940	0.001032	0.002001	0.000697	0.003609	0.979021
for	0.008278	0.000237	0.000412	0.000097	0.000322	0.001124	0.001718	0.001151	0.016527	0.948805	0.016520	0.004809
a	0.006594	0.000174	0.000755	0.000149	0.000068	0.000342	0.001405	0.000629	0.002324	0.971541	0.008574	0.007445
competition	0.007072	0.003659	0.000207	0.002822	0.018677	0.002562	0.002316	0.004109	0.016821	0.014558	0.006510	0.920685
.	0.016863	0.006891	0.005033	0.023875	0.021601	0.004074	0.003191	0.016667	0.004132	0.012999	0.007392	0.877282
[SEP]	0.000615	0.000331	0.000629	0.000491	0.000350	0.000209	0.000513	0.000234	0.000238	0.000212	0.000359	0.995817
