TOKEN	[CLS]	A	person	is	training	his	horse	for	a	competition	.	[SEP]
[CLS]	0.455516	0.026993	0.040607	0.037796	0.021065	0.030684	0.096857	0.019640	0.019910	0.033749	0.076441	0.140742
A	0.428818	0.020362	0.087527	0.053918	0.020958	0.110498	0.011871	0.011627	0.030797	0.012119	0.097014	0.114492
person	0.358080	0.089650	0.006657	0.079195	0.025313	0.090433	0.001057	0.046669	0.043457	0.030530	0.074579	0.154381
is	0.349558	0.028865	0.098370	0.037463	0.042043	0.139889	0.010803	0.019309	0.024156	0.016827	0.065755	0.166961
training	0.007476	0.002539	0.002287	0.005135	0.007312	0.007322	0.925622	0.006210	0.002407	0.006255	0.004902	0.022533
his	0.398862	0.012532	0.043832	0.058487	0.018845	0.032763	0.098516	0.014200	0.010998	0.018875	0.065376	0.226714
horse	0.036778	0.052111	0.001123	0.080941	0.067210	0.030445	0.322228	0.071967	0.017613	0.101230	0.060711	0.157645
for	0.384587	0.034309	0.034850	0.049379	0.040437	0.046724	0.004653	0.009066	0.029837	0.037006	0.121172	0.207979
a	0.494755	0.016122	0.069361	0.057182	0.012018	0.048288	0.018112	0.016628	0.015344	0.018819	0.079599	0.153773
competition	0.018680	0.025400	0.003963	0.049396	0.024315	0.024659	0.247008	0.057706	0.022692	0.375369	0.063762	0.087049
.	0.711586	0.011319	0.011764	0.022155	0.003657	0.010732	0.007171	0.007891	0.008746	0.004967	0.048089	0.151923
[SEP]	0.767154	0.002955	0.008281	0.009731	0.005042	0.003569	0.027516	0.002952	0.004298	0.003291	0.045453	0.119761
