TOKEN	[CLS]	A	person	is	training	his	horse	for	a	competition	.	[SEP]
[CLS]	0.107274	0.194933	0.040137	0.095343	0.008318	0.009224	0.003017	0.009573	0.019971	0.007122	0.140582	0.364506
A	0.046948	0.146947	0.070799	0.061286	0.005259	0.003300	0.012744	0.002577	0.010833	0.012165	0.312588	0.314553
person	0.025770	0.064291	0.032645	0.040895	0.002601	0.001952	0.002515	0.003154	0.006610	0.006670	0.033414	0.779485
is	0.062994	0.222778	0.095283	0.172863	0.007118	0.009878	0.009162	0.004003	0.013516	0.005888	0.197161	0.199356
training	0.028488	0.119586	0.088166	0.140339	0.029120	0.014048	0.019398	0.028728	0.031508	0.021171	0.052424	0.427024
his	0.013259	0.129874	0.066945	0.055259	0.003315	0.004900	0.004263	0.003415	0.015262	0.012993	0.049331	0.641183
horse	0.069173	0.085373	0.066233	0.052428	0.023937	0.015410	0.042361	0.026242	0.015974	0.035793	0.042337	0.524739
for	0.009870	0.039717	0.046180	0.048096	0.057986	0.010415	0.063061	0.019674	0.017542	0.039353	0.031074	0.617031
a	0.037173	0.275746	0.094548	0.218952	0.024120	0.009432	0.026543	0.026342	0.031344	0.023473	0.115414	0.116912
competition	0.034069	0.050950	0.100045	0.055155	0.049481	0.021845	0.044570	0.029494	0.031076	0.040344	0.036712	0.506259
.	0.022359	0.107456	0.019100	0.033966	0.001869	0.005777	0.002229	0.005464	0.008454	0.004242	0.106469	0.682614
[SEP]	0.081764	0.008792	0.004814	0.003626	0.007547	0.006897	0.014322	0.016448	0.012999	0.015960	0.011276	0.815553
