TOKEN	[CLS]	A	person	is	training	his	horse	for	a	competition	.	[SEP]
[CLS]	0.054476	0.027263	0.027440	0.008829	0.001843	0.002126	0.003420	0.011027	0.002769	0.009775	0.056864	0.794167
A	0.000082	0.001035	0.996516	0.001153	0.000161	0.000026	0.000226	0.000000	0.000001	0.000574	0.000006	0.000221
person	0.017731	0.001509	0.001969	0.556055	0.003010	0.000038	0.000363	0.000089	0.000001	0.000046	0.000256	0.418933
is	0.000455	0.000040	0.000773	0.007796	0.987906	0.000155	0.000288	0.000012	0.000003	0.000012	0.000005	0.002554
training	0.000007	0.000347	0.000156	0.000146	0.000954	0.997549	0.000145	0.000074	0.000378	0.000005	0.000014	0.000225
his	0.000011	0.000007	0.002455	0.000123	0.000503	0.001489	0.982603	0.000133	0.000051	0.012076	0.000004	0.000545
horse	0.003117	0.000068	0.000069	0.002465	0.000838	0.001718	0.001778	0.206236	0.000912	0.001213	0.007091	0.774495
for	0.000344	0.000153	0.000001	0.000001	0.000127	0.005882	0.000013	0.000588	0.991093	0.000276	0.000180	0.001340
a	0.000007	0.000000	0.000110	0.000000	0.000005	0.000004	0.000426	0.000008	0.000197	0.999105	0.000025	0.000113
competition	0.003210	0.000035	0.000107	0.000048	0.000011	0.000010	0.000059	0.003702	0.000128	0.002092	0.549132	0.441467
.	0.000590	0.001918	0.000044	0.000006	0.000000	0.000001	0.000000	0.000004	0.000006	0.000012	0.007310	0.990109
[SEP]	0.073758	0.015517	0.004740	0.009325	0.002901	0.008183	0.005673	0.005739	0.006465	0.007091	0.039503	0.821106
