TOKEN	[CLS]	A	person	is	training	his	horse	for	a	competition	.	[SEP]
[CLS]	0.014001	0.001023	0.000851	0.005255	0.002882	0.000560	0.000421	0.000874	0.003454	0.001320	0.001426	0.967934
A	0.001287	0.021403	0.018780	0.066211	0.011272	0.001979	0.001461	0.004979	0.007403	0.002947	0.006613	0.855664
person	0.002644	0.032299	0.018189	0.098037	0.011583	0.007498	0.004033	0.000912	0.003589	0.002709	0.007204	0.811304
is	0.002827	0.067945	0.020886	0.016403	0.011365	0.002128	0.000896	0.004426	0.004653	0.005232	0.005632	0.857607
training	0.003556	0.017423	0.007828	0.058793	0.009578	0.001872	0.001988	0.007505	0.008389	0.008686	0.012182	0.862200
his	0.001607	0.004026	0.003523	0.017728	0.006851	0.001902	0.001192	0.000798	0.001020	0.001043	0.003721	0.956589
horse	0.007225	0.011635	0.006931	0.032464	0.025058	0.006968	0.006108	0.006019	0.007537	0.007408	0.018471	0.864177
for	0.001136	0.010220	0.004221	0.093905	0.468489	0.004852	0.006324	0.019612	0.012581	0.005641	0.014151	0.358869
a	0.001879	0.004580	0.006917	0.147224	0.051957	0.002263	0.002211	0.020407	0.012821	0.005672	0.013039	0.731030
competition	0.007090	0.005073	0.007602	0.105214	0.040966	0.005502	0.007596	0.087137	0.027815	0.009530	0.032686	0.663788
.	0.002141	0.002703	0.005147	0.040732	0.005344	0.003008	0.002604	0.002116	0.007202	0.003961	0.007034	0.918007
[SEP]	0.112377	0.008817	0.005393	0.006589	0.004229	0.006083	0.008576	0.002602	0.006557	0.004130	0.104915	0.729733
