TOKEN	[CLS]	A	person	is	training	his	horse	for	a	competition	.	[SEP]
[CLS]	0.543525	0.041735	0.006468	0.003968	0.006147	0.007445	0.005091	0.015779	0.023436	0.007186	0.027646	0.311573
A	0.174084	0.029704	0.102910	0.110536	0.057767	0.057823	0.066952	0.128875	0.053261	0.029451	0.073445	0.115192
person	0.077892	0.049994	0.065085	0.094729	0.115748	0.066541	0.163559	0.065340	0.051487	0.079960	0.036377	0.133288
is	0.084443	0.016462	0.084823	0.382728	0.050213	0.058144	0.056462	0.064231	0.032692	0.016367	0.060607	0.092829
training	0.069786	0.074833	0.069679	0.028745	0.128378	0.044323	0.143936	0.058267	0.084098	0.189577	0.054947	0.053431
his	0.051886	0.068243	0.075863	0.057868	0.104294	0.068511	0.081244	0.154322	0.044423	0.061845	0.123343	0.108158
horse	0.086167	0.094456	0.102424	0.077896	0.133980	0.037442	0.066429	0.055059	0.038116	0.200536	0.046882	0.060614
for	0.052083	0.092510	0.079822	0.040466	0.086778	0.079745	0.078696	0.132547	0.065968	0.053522	0.175177	0.062687
a	0.103139	0.065296	0.083837	0.095326	0.099778	0.041369	0.049261	0.180942	0.053663	0.035370	0.068820	0.123200
competition	0.125932	0.124048	0.050420	0.048721	0.036886	0.060341	0.067874	0.114351	0.050980	0.034680	0.178821	0.106947
.	0.101460	0.056396	0.055910	0.047051	0.073309	0.035073	0.056943	0.247238	0.045242	0.032056	0.061248	0.188073
[SEP]	0.196568	0.008386	0.005757	0.006084	0.003837	0.002250	0.001641	0.003367	0.003658	0.000893	0.000642	0.766918
