TOKEN	[CLS]	A	person	is	training	his	horse	for	a	competition	.	[SEP]
[CLS]	0.266907	0.009936	0.023327	0.017355	0.034736	0.018128	0.014723	0.021176	0.010806	0.032741	0.443590	0.106575
A	0.824034	0.000607	0.000120	0.000018	0.000252	0.000029	0.000000	0.000018	0.000001	0.000012	0.000298	0.174609
person	0.000322	0.997495	0.000055	0.000005	0.000007	0.000668	0.000001	0.000000	0.000001	0.000001	0.000004	0.001442
is	0.000001	0.000085	0.998665	0.000048	0.000066	0.000020	0.000212	0.000000	0.000000	0.000004	0.000005	0.000893
training	0.001613	0.000222	0.000237	0.982179	0.001392	0.000075	0.000024	0.000007	0.000006	0.000000	0.000026	0.014218
his	0.000044	0.000001	0.000011	0.000037	0.998778	0.000046	0.000069	0.000591	0.000002	0.000012	0.000003	0.000407
horse	0.005789	0.000211	0.000013	0.000145	0.000817	0.990766	0.000077	0.000272	0.000763	0.000142	0.000062	0.000942
for	0.000024	0.000000	0.000039	0.000004	0.000104	0.000030	0.998285	0.000199	0.000014	0.001036	0.000044	0.000219
a	0.000035	0.000000	0.000000	0.000001	0.000065	0.000004	0.000015	0.999556	0.000152	0.000071	0.000056	0.000045
competition	0.002835	0.000047	0.000000	0.000006	0.000041	0.000084	0.000010	0.000090	0.996267	0.000109	0.000296	0.000217
.	0.002065	0.000017	0.000784	0.000006	0.000123	0.000778	0.009395	0.001564	0.001635	0.957973	0.021416	0.004244
[SEP]	0.765174	0.005851	0.007834	0.023319	0.022495	0.029824	0.011991	0.024840	0.017066	0.011076	0.039616	0.040914
