TOKEN	[CLS]	A	person	is	training	his	horse	for	a	competition	.	[SEP]
[CLS]	0.107829	0.060538	0.029259	0.084975	0.005466	0.028932	0.005311	0.004816	0.009456	0.018385	0.043562	0.601472
A	0.026777	0.234406	0.115048	0.215455	0.005369	0.148541	0.001147	0.008483	0.006067	0.003182	0.199623	0.035903
person	0.076358	0.421247	0.063242	0.096733	0.011148	0.026846	0.009682	0.012461	0.019081	0.009297	0.171513	0.082393
is	0.075933	0.373467	0.150258	0.112201	0.009339	0.048483	0.002713	0.015656	0.021770	0.005318	0.119603	0.065259
training	0.073420	0.094138	0.197072	0.244918	0.028760	0.027689	0.005527	0.050718	0.048114	0.048163	0.102152	0.079329
his	0.021441	0.326567	0.225720	0.200748	0.036523	0.012560	0.005288	0.013621	0.018934	0.037812	0.041738	0.059048
horse	0.081162	0.062443	0.191107	0.038169	0.163548	0.007355	0.012928	0.052190	0.034743	0.144253	0.076330	0.135772
for	0.037065	0.205913	0.153691	0.334309	0.029728	0.029213	0.005399	0.022558	0.027497	0.036798	0.075046	0.042784
a	0.054224	0.111935	0.079689	0.499225	0.010221	0.017559	0.001176	0.025197	0.014453	0.009127	0.109939	0.067256
competition	0.061414	0.082873	0.121702	0.108575	0.065045	0.022262	0.012153	0.099426	0.073886	0.034436	0.165204	0.153023
.	0.070407	0.308117	0.073263	0.162820	0.007415	0.036079	0.003399	0.005833	0.021525	0.013891	0.098896	0.198354
[SEP]	0.001507	0.002420	0.001878	0.000695	0.000357	0.000670	0.000632	0.000542	0.000527	0.000183	0.001382	0.989207
