TOKEN	[CLS]	A	person	is	training	his	horse	for	a	competition	.	[SEP]
[CLS]	0.009531	0.012458	0.019287	0.028563	0.011472	0.011406	0.031990	0.007020	0.007995	0.018238	0.009586	0.832455
A	0.002594	0.115195	0.074793	0.059897	0.013045	0.041354	0.040950	0.009458	0.017084	0.046096	0.057525	0.522008
person	0.002669	0.039045	0.107641	0.020183	0.013057	0.026720	0.119591	0.003422	0.007334	0.056565	0.038689	0.565084
is	0.005037	0.143953	0.218409	0.160973	0.032599	0.025781	0.056999	0.023039	0.018918	0.102465	0.057385	0.154442
training	0.003296	0.028728	0.071212	0.057226	0.059119	0.038155	0.136900	0.061716	0.034611	0.115268	0.072753	0.321016
his	0.004224	0.105200	0.056777	0.034785	0.033377	0.096594	0.071275	0.010954	0.030047	0.032990	0.108125	0.415652
horse	0.002079	0.014524	0.130131	0.010979	0.034414	0.014969	0.262549	0.018884	0.009417	0.092880	0.029908	0.379267
for	0.001293	0.019194	0.016606	0.053383	0.046778	0.022547	0.050997	0.115870	0.045417	0.077497	0.041633	0.508785
a	0.002167	0.092431	0.051847	0.077603	0.052561	0.049390	0.072507	0.098359	0.089048	0.110677	0.055120	0.248290
competition	0.001640	0.012750	0.039112	0.023680	0.032098	0.009370	0.255790	0.059109	0.039542	0.083307	0.030966	0.412635
.	0.000979	0.041463	0.073453	0.029520	0.009081	0.010646	0.063572	0.022481	0.032959	0.061987	0.030371	0.623488
[SEP]	0.000709	0.000321	0.000399	0.000581	0.000354	0.000134	0.001020	0.000238	0.000297	0.000389	0.000996	0.994563
