TOKEN	[CLS]	A	person	is	training	his	horse	for	a	competition	.	[SEP]
[CLS]	0.206386	0.039512	0.026377	0.038207	0.097618	0.031848	0.147197	0.065039	0.029927	0.049314	0.069850	0.198726
A	0.127814	0.007340	0.028329	0.044881	0.064507	0.009873	0.055142	0.043069	0.011024	0.020084	0.027976	0.559961
person	0.051884	0.009652	0.007844	0.037146	0.070432	0.021245	0.217031	0.024219	0.013036	0.030798	0.049799	0.466915
is	0.323931	0.019673	0.025661	0.032157	0.062977	0.016490	0.108096	0.034126	0.012491	0.048388	0.050826	0.265183
training	0.119341	0.035320	0.013226	0.097681	0.076334	0.013251	0.022020	0.071240	0.045897	0.085771	0.047545	0.372373
his	0.168490	0.032858	0.036980	0.035334	0.081785	0.006535	0.013644	0.027363	0.022228	0.035720	0.020929	0.518132
horse	0.117419	0.033057	0.086545	0.044061	0.033460	0.005207	0.016678	0.012351	0.018735	0.036720	0.089520	0.506247
for	0.075698	0.045306	0.052883	0.145422	0.087642	0.015070	0.030926	0.043372	0.047135	0.041415	0.034092	0.381040
a	0.120405	0.012409	0.025194	0.037036	0.113567	0.008321	0.019158	0.099144	0.032311	0.052090	0.036670	0.443694
competition	0.080613	0.008798	0.023492	0.029560	0.053631	0.004826	0.031905	0.111498	0.036689	0.031489	0.083578	0.503922
.	0.235996	0.030592	0.038323	0.043873	0.063554	0.010153	0.032551	0.158835	0.036179	0.036670	0.086032	0.227242
[SEP]	0.281252	0.115853	0.055599	0.066485	0.028855	0.077851	0.057407	0.032909	0.050874	0.034704	0.105930	0.092282
