TOKEN	[CLS]	A	person	is	training	his	horse	for	a	competition	.	[SEP]
[CLS]	0.976901	0.000771	0.003100	0.000580	0.002411	0.000295	0.003080	0.002740	0.000239	0.003444	0.005905	0.000534
A	0.071240	0.065085	0.158962	0.056282	0.051872	0.098314	0.029787	0.158293	0.077413	0.034619	0.046383	0.151751
person	0.025022	0.021616	0.110704	0.057571	0.109627	0.097837	0.072902	0.050401	0.029887	0.131263	0.008106	0.285065
is	0.023420	0.033547	0.246181	0.058089	0.111750	0.154798	0.033468	0.054749	0.052571	0.050466	0.007666	0.173297
training	0.001529	0.044037	0.113483	0.116844	0.094084	0.277451	0.034749	0.040197	0.062151	0.105615	0.017058	0.092802
his	0.006304	0.013821	0.536015	0.037794	0.104182	0.032523	0.086747	0.017679	0.028213	0.071472	0.005156	0.060095
horse	0.026909	0.009717	0.052623	0.058406	0.304953	0.023520	0.096284	0.024172	0.016056	0.294799	0.005246	0.087315
for	0.023491	0.047988	0.166525	0.058644	0.120010	0.120472	0.026190	0.051336	0.117851	0.067839	0.017839	0.181814
a	0.033878	0.043414	0.375632	0.029220	0.065973	0.075804	0.053288	0.055670	0.075439	0.070291	0.026477	0.094915
competition	0.005269	0.055690	0.098065	0.178011	0.090901	0.118315	0.055956	0.064771	0.143236	0.028511	0.011163	0.150112
.	0.010236	0.047276	0.038955	0.023325	0.016246	0.043403	0.017365	0.085795	0.072416	0.045603	0.556608	0.042772
[SEP]	0.204358	0.021392	0.013886	0.010868	0.006318	0.010115	0.028870	0.031050	0.015624	0.022247	0.616910	0.018362
