TOKEN	[CLS]	A	person	is	training	his	horse	for	a	competition	.	[SEP]
[CLS]	0.079626	0.012150	0.038271	0.010733	0.004204	0.014593	0.011936	0.002759	0.002388	0.005708	0.020698	0.796934
A	0.059409	0.057996	0.080722	0.049572	0.011132	0.045641	0.008134	0.006759	0.005003	0.003880	0.077866	0.593886
person	0.069262	0.387144	0.081329	0.077075	0.038485	0.028582	0.023161	0.014905	0.010964	0.015680	0.042736	0.210677
is	0.058117	0.264960	0.263635	0.032620	0.027486	0.029301	0.028403	0.009241	0.013685	0.006859	0.067682	0.198011
training	0.016727	0.273786	0.350051	0.101422	0.021076	0.018935	0.046437	0.010346	0.009385	0.017270	0.030414	0.104153
his	0.019189	0.173083	0.557582	0.100747	0.022467	0.017281	0.014370	0.007783	0.007870	0.003491	0.022639	0.053498
horse	0.010865	0.042385	0.231944	0.088353	0.228137	0.062851	0.033546	0.125105	0.031854	0.077235	0.022856	0.044867
for	0.009803	0.045702	0.167259	0.140627	0.245455	0.106041	0.088224	0.076318	0.023121	0.050503	0.025206	0.021742
a	0.027850	0.029635	0.114329	0.145296	0.106029	0.190683	0.040485	0.222497	0.035604	0.013370	0.035427	0.038793
competition	0.006649	0.015038	0.088005	0.072697	0.197740	0.057830	0.061426	0.329973	0.061425	0.066910	0.027177	0.015131
.	0.091469	0.029118	0.048774	0.052221	0.040348	0.052880	0.031361	0.067438	0.064392	0.020002	0.079258	0.422738
[SEP]	0.050515	0.001078	0.002234	0.002063	0.001241	0.000749	0.001366	0.001090	0.000762	0.001138	0.010973	0.926791
