TOKEN	[CLS]	A	person	is	training	his	horse	for	a	competition	.	[SEP]
[CLS]	0.009039	0.019524	0.017886	0.031891	0.020060	0.008129	0.009876	0.004307	0.008414	0.040681	0.178541	0.651655
A	0.073767	0.064025	0.056345	0.085018	0.026975	0.175147	0.010910	0.052701	0.033404	0.028135	0.150192	0.243382
person	0.061785	0.048010	0.004224	0.041644	0.042942	0.045954	0.065486	0.018815	0.033802	0.044247	0.090111	0.502980
is	0.034148	0.098307	0.057460	0.075078	0.019054	0.068525	0.004390	0.067099	0.035813	0.028691	0.086826	0.424606
training	0.108650	0.036010	0.046128	0.061856	0.005959	0.016312	0.020016	0.026212	0.027260	0.056362	0.070486	0.524750
his	0.146822	0.222161	0.071854	0.036598	0.009256	0.013121	0.019111	0.049355	0.081916	0.026141	0.097958	0.225708
horse	0.179003	0.020010	0.034381	0.006174	0.007442	0.008831	0.018570	0.010542	0.018177	0.025204	0.052389	0.619278
for	0.031292	0.026501	0.034993	0.102561	0.019819	0.028645	0.011497	0.007746	0.021162	0.038396	0.048754	0.628635
a	0.050123	0.046011	0.030255	0.063441	0.040245	0.136015	0.013826	0.045720	0.048191	0.068746	0.074320	0.383107
competition	0.064963	0.030958	0.009158	0.038337	0.082475	0.028341	0.071330	0.019851	0.035520	0.001589	0.080283	0.537195
.	0.010953	0.039583	0.014281	0.037994	0.009560	0.012427	0.006908	0.006551	0.007002	0.008507	0.296265	0.549969
[SEP]	0.009477	0.005066	0.000774	0.004932	0.001318	0.004358	0.001087	0.001506	0.001296	0.000716	0.018533	0.950936
