TOKEN	[CLS]	A	person	is	training	his	horse	for	a	competition	.	[SEP]
[CLS]	0.080198	0.006401	0.004708	0.009269	0.001841	0.000262	0.001417	0.007623	0.004252	0.002498	0.020266	0.861264
A	0.012082	0.014367	0.008374	0.011305	0.001127	0.000269	0.002071	0.010209	0.006068	0.013803	0.044625	0.875700
person	0.011079	0.025407	0.005514	0.005084	0.002556	0.000413	0.003437	0.000340	0.000270	0.011437	0.024926	0.909537
is	0.023755	0.382060	0.050063	0.032191	0.000919	0.002573	0.001353	0.000626	0.000770	0.003273	0.088846	0.413571
training	0.018160	0.314001	0.135833	0.164362	0.030821	0.013618	0.009025	0.000959	0.001422	0.008418	0.056332	0.247047
his	0.015620	0.715311	0.169315	0.031154	0.003464	0.002372	0.004710	0.000051	0.000052	0.001174	0.011716	0.045058
horse	0.021419	0.096390	0.032141	0.057292	0.130368	0.148337	0.020658	0.005558	0.002527	0.014848	0.021358	0.449103
for	0.015701	0.327469	0.049342	0.195818	0.133653	0.082155	0.008311	0.009107	0.002389	0.002401	0.027650	0.146005
a	0.037223	0.473125	0.042626	0.258671	0.011478	0.004369	0.002931	0.034252	0.004050	0.002699	0.023355	0.105223
competition	0.018392	0.105661	0.031319	0.248626	0.061023	0.029981	0.028681	0.183079	0.036233	0.013577	0.034921	0.208509
.	0.033987	0.064167	0.018586	0.032246	0.007320	0.006222	0.007071	0.015356	0.012817	0.014016	0.087864	0.700349
[SEP]	0.003989	0.000923	0.001494	0.001877	0.000471	0.000270	0.000918	0.000295	0.000630	0.001329	0.004373	0.983431
