TOKEN	[CLS]	A	person	is	training	his	horse	for	a	competition	.	[SEP]
[CLS]	0.022707	0.103870	0.127442	0.072386	0.010531	0.018345	0.020726	0.002744	0.022405	0.050244	0.071132	0.477468
A	0.018579	0.017994	0.002203	0.001817	0.005239	0.000538	0.000654	0.002616	0.001495	0.002835	0.005897	0.940133
person	0.001379	0.136224	0.006745	0.003353	0.004423	0.013508	0.000834	0.000656	0.004908	0.001453	0.006307	0.820211
is	0.008153	0.139997	0.271524	0.099489	0.033117	0.004463	0.004761	0.000761	0.001130	0.001607	0.002197	0.432801
training	0.000981	0.015092	0.166374	0.542877	0.003783	0.005333	0.011673	0.000248	0.001431	0.001631	0.001240	0.249337
his	0.004711	0.006242	0.021448	0.027860	0.029858	0.003765	0.003856	0.001910	0.000713	0.002156	0.001993	0.895488
horse	0.000042	0.000740	0.000198	0.000410	0.000121	0.021129	0.001518	0.000098	0.003263	0.000080	0.000296	0.972103
for	0.001223	0.002318	0.008744	0.004973	0.007837	0.009560	0.415696	0.008435	0.020786	0.048570	0.002044	0.469812
a	0.002736	0.001850	0.006175	0.003852	0.007517	0.009852	0.156985	0.092298	0.017741	0.053447	0.003187	0.644361
competition	0.001956	0.004106	0.005253	0.001801	0.004227	0.009220	0.015065	0.002320	0.096895	0.031374	0.004867	0.822916
.	0.004999	0.008485	0.002780	0.005531	0.002222	0.002877	0.011300	0.008062	0.072252	0.262046	0.060884	0.558564
[SEP]	0.001938	0.004716	0.001652	0.008039	0.006434	0.005368	0.003721	0.002790	0.011307	0.002682	0.013654	0.937698
