TOKEN	[CLS]	A	person	is	training	his	horse	for	a	competition	.	[SEP]
[CLS]	0.774155	0.001979	0.005472	0.000165	0.000576	0.000379	0.001915	0.000622	0.000637	0.001606	0.016513	0.195982
A	0.088000	0.092904	0.023135	0.092308	0.112738	0.061373	0.008146	0.094753	0.074324	0.041843	0.031961	0.278515
person	0.010997	0.009385	0.058231	0.034181	0.375510	0.178091	0.105335	0.028927	0.017058	0.109244	0.012522	0.060518
is	0.009658	0.031893	0.229727	0.027661	0.224957	0.140973	0.102564	0.093608	0.011547	0.029334	0.022764	0.075313
training	0.016960	0.028378	0.080042	0.053590	0.052613	0.051736	0.528168	0.041534	0.021986	0.010759	0.037616	0.076618
his	0.007738	0.010788	0.071882	0.030388	0.223802	0.157237	0.110867	0.045722	0.030917	0.035895	0.010144	0.264621
horse	0.050580	0.023941	0.017009	0.056486	0.071346	0.160521	0.075504	0.028915	0.063081	0.110758	0.090494	0.251364
for	0.005406	0.002794	0.044911	0.018171	0.585537	0.044313	0.107254	0.007984	0.009557	0.119766	0.011942	0.042365
a	0.023439	0.012946	0.077026	0.042293	0.053067	0.097980	0.043627	0.085367	0.062528	0.096788	0.071733	0.333209
competition	0.014593	0.012466	0.017287	0.038296	0.077085	0.074202	0.167526	0.034718	0.049771	0.019473	0.040275	0.454308
.	0.012547	0.061519	0.007951	0.022842	0.009027	0.009727	0.004935	0.044009	0.065972	0.014593	0.013542	0.733337
[SEP]	0.040566	0.020396	0.016817	0.004521	0.002010	0.008176	0.008143	0.005225	0.022521	0.010449	0.144814	0.716363
