TOKEN	[CLS]	A	person	is	training	his	horse	for	a	competition	.	[SEP]
[CLS]	0.041528	0.022808	0.038893	0.035301	0.061377	0.051835	0.028908	0.046373	0.018795	0.015667	0.015157	0.623357
A	0.017162	0.021515	0.287075	0.111542	0.136749	0.035955	0.024399	0.017166	0.004258	0.030221	0.018306	0.295653
person	0.020417	0.014838	0.005427	0.013860	0.240745	0.020862	0.002729	0.006880	0.002449	0.005976	0.013413	0.652403
is	0.032991	0.010446	0.033410	0.041897	0.487477	0.034461	0.014333	0.065441	0.009310	0.052347	0.029856	0.188032
training	0.029151	0.000553	0.001142	0.009783	0.016678	0.001655	0.163971	0.011467	0.003969	0.004862	0.010876	0.745892
his	0.013639	0.000682	0.003432	0.012512	0.025186	0.008317	0.807899	0.003287	0.003044	0.004838	0.011645	0.105519
horse	0.011038	0.001262	0.000834	0.003838	0.026634	0.013095	0.008125	0.001515	0.001013	0.008233	0.012532	0.911880
for	0.075281	0.007639	0.001541	0.097335	0.028960	0.013275	0.008143	0.002527	0.141948	0.175396	0.099559	0.348397
a	0.034375	0.002115	0.012051	0.038486	0.074050	0.031108	0.023949	0.022538	0.012491	0.366038	0.078050	0.304750
competition	0.004572	0.001977	0.000829	0.002636	0.006158	0.004081	0.007886	0.005862	0.005418	0.002758	0.011647	0.946177
.	0.007558	0.032893	0.033502	0.041430	0.031355	0.032453	0.019628	0.041367	0.034882	0.015265	0.023508	0.686159
[SEP]	0.002172	0.000354	0.000846	0.000865	0.001018	0.000568	0.002006	0.001013	0.000321	0.001319	0.001467	0.988052
