TOKEN	[CLS]	A	person	is	training	his	horse	for	a	competition	.	[SEP]
[CLS]	0.074375	0.101971	0.050866	0.094965	0.032622	0.019297	0.098030	0.034246	0.028715	0.051670	0.015862	0.397382
A	0.004231	0.129720	0.105675	0.220748	0.048797	0.150000	0.033231	0.082264	0.111604	0.035620	0.013795	0.064316
person	0.006740	0.031601	0.058570	0.108759	0.175119	0.047634	0.097810	0.116406	0.060152	0.110963	0.008055	0.178191
is	0.006197	0.104905	0.118005	0.145656	0.107151	0.125006	0.054247	0.063410	0.077241	0.046905	0.007753	0.143523
training	0.002411	0.004444	0.012097	0.016600	0.119050	0.004101	0.160334	0.111917	0.024169	0.137053	0.002632	0.405192
his	0.005578	0.005569	0.028112	0.039315	0.043864	0.004363	0.053422	0.054355	0.017822	0.133835	0.004873	0.608893
horse	0.001612	0.001511	0.008827	0.002263	0.009592	0.000658	0.050654	0.016818	0.003171	0.042191	0.000855	0.861848
for	0.002923	0.006115	0.066210	0.011115	0.035714	0.007971	0.078063	0.032625	0.024315	0.187698	0.002981	0.544270
a	0.004711	0.021994	0.158116	0.056564	0.095124	0.037027	0.093689	0.081473	0.044587	0.268343	0.006078	0.132293
competition	0.001100	0.002205	0.015389	0.004334	0.015038	0.001316	0.182734	0.012308	0.002258	0.037364	0.000849	0.725105
.	0.009026	0.184915	0.065778	0.113688	0.024384	0.033935	0.051904	0.032106	0.040735	0.021952	0.011616	0.409960
[SEP]	0.008370	0.010728	0.014622	0.017062	0.004616	0.007456	0.022593	0.005947	0.004743	0.008019	0.010281	0.885564
