TOKEN	[CLS]	A	person	is	training	his	horse	for	a	competition	.	[SEP]
[CLS]	0.027478	0.040111	0.017644	0.035826	0.019316	0.037910	0.019975	0.008394	0.015356	0.016500	0.049738	0.711752
A	0.039973	0.042988	0.151475	0.118645	0.011593	0.049267	0.003533	0.074402	0.028563	0.001188	0.080327	0.398047
person	0.040070	0.184344	0.029283	0.016520	0.014464	0.026653	0.002887	0.035451	0.030639	0.002112	0.071431	0.546146
is	0.048959	0.085649	0.035836	0.020778	0.014571	0.164303	0.003030	0.036644	0.039749	0.005940	0.121524	0.423017
training	0.031359	0.001569	0.018711	0.038214	0.004483	0.073586	0.032791	0.166405	0.015690	0.008255	0.065152	0.543786
his	0.030642	0.048219	0.038626	0.068207	0.025541	0.123919	0.030886	0.011094	0.024931	0.013781	0.072214	0.511941
horse	0.117619	0.007174	0.001598	0.000909	0.379541	0.034851	0.031285	0.011312	0.016955	0.025192	0.120542	0.253021
for	0.067532	0.024921	0.005417	0.038908	0.353006	0.026334	0.013238	0.002357	0.042052	0.051458	0.075873	0.298903
a	0.041670	0.026030	0.124284	0.027317	0.113710	0.054874	0.015356	0.059994	0.054399	0.007092	0.075416	0.399859
competition	0.064277	0.007780	0.037721	0.011514	0.010771	0.021954	0.031279	0.049023	0.036314	0.016731	0.108784	0.603852
.	0.036490	0.069426	0.033873	0.109223	0.023324	0.071632	0.020260	0.014663	0.036631	0.039851	0.056631	0.487997
[SEP]	0.035131	0.014806	0.008439	0.016656	0.012137	0.015846	0.013555	0.013994	0.016174	0.009440	0.039146	0.804677
