TOKEN	[CLS]	A	person	is	training	his	horse	for	a	competition	.	[SEP]
[CLS]	0.017958	0.376658	0.013552	0.051133	0.001521	0.001639	0.000445	0.000597	0.000408	0.000345	0.003601	0.532144
A	0.025008	0.009617	0.054131	0.740982	0.047260	0.009510	0.003112	0.004572	0.000206	0.000538	0.009137	0.095927
person	0.035469	0.005503	0.014745	0.412735	0.217772	0.025972	0.005864	0.001898	0.000552	0.001732	0.004610	0.273148
is	0.071653	0.001433	0.012581	0.061771	0.462258	0.045230	0.020725	0.004455	0.000533	0.002209	0.003444	0.313707
training	0.032944	0.001912	0.007899	0.025688	0.008160	0.172443	0.049246	0.176080	0.006690	0.007448	0.009421	0.502070
his	0.037665	0.000992	0.007690	0.022523	0.048056	0.035787	0.481283	0.083749	0.006519	0.015253	0.011308	0.249176
horse	0.030948	0.000286	0.001276	0.004404	0.006918	0.023871	0.016323	0.094084	0.018002	0.039754	0.036632	0.727501
for	0.035574	0.000893	0.002419	0.000272	0.002065	0.012950	0.011776	0.017330	0.215860	0.200953	0.140015	0.359893
a	0.020668	0.000325	0.000348	0.000904	0.001748	0.005035	0.004980	0.038822	0.012546	0.134625	0.428918	0.351081
competition	0.005846	0.000317	0.000118	0.000437	0.000145	0.001479	0.000548	0.007749	0.006633	0.016873	0.229918	0.729936
.	0.020389	0.017718	0.002164	0.003208	0.000288	0.000245	0.000124	0.000880	0.001166	0.001872	0.048088	0.903858
[SEP]	0.008919	0.006831	0.003997	0.014831	0.001376	0.004293	0.002449	0.011626	0.006382	0.011117	0.030454	0.897725
