TOKEN	[CLS]	A	person	is	training	his	horse	for	a	competition	.	[SEP]
[CLS]	0.011605	0.415269	0.082682	0.099750	0.026674	0.045516	0.025593	0.002277	0.022763	0.015020	0.092583	0.160269
A	0.083919	0.492804	0.045322	0.060724	0.012084	0.045070	0.024426	0.006019	0.064751	0.012075	0.082395	0.070411
person	0.111929	0.300113	0.031725	0.048899	0.013161	0.038821	0.021883	0.004504	0.037762	0.009467	0.111396	0.270339
is	0.086714	0.428094	0.062775	0.053755	0.015036	0.043252	0.029285	0.003255	0.051105	0.010804	0.091152	0.124772
training	0.082403	0.177795	0.049633	0.030445	0.008750	0.009496	0.067865	0.002064	0.025177	0.034180	0.098114	0.414079
his	0.058127	0.413656	0.030056	0.030725	0.012092	0.012223	0.015020	0.007353	0.057900	0.038834	0.084553	0.239462
horse	0.103638	0.108067	0.011935	0.050227	0.011080	0.008971	0.030288	0.007079	0.045625	0.019269	0.081682	0.522140
for	0.030133	0.024439	0.010382	0.013419	0.002782	0.005558	0.023097	0.001302	0.009493	0.020702	0.019857	0.838835
a	0.087974	0.304528	0.076914	0.053579	0.017893	0.041075	0.059164	0.005845	0.073263	0.025335	0.115606	0.138824
competition	0.109055	0.113036	0.035796	0.090872	0.022906	0.028462	0.059466	0.007931	0.041886	0.033927	0.117049	0.339615
.	0.261433	0.265885	0.060215	0.073122	0.009600	0.016318	0.022625	0.014370	0.090141	0.030416	0.112007	0.043868
[SEP]	0.019443	0.001801	0.006874	0.003203	0.004703	0.002129	0.015268	0.002444	0.002115	0.007911	0.004801	0.929308
