TOKEN	[CLS]	None	of	the	original	buildings	in	En	##ga	##ku	##ji	are	still	remaining	.	[SEP]
[CLS]	0.395878	0.003288	0.002326	0.007086	0.021984	0.048834	0.016495	0.003624	0.010833	0.008920	0.009187	0.013666	0.003317	0.013594	0.011994	0.428975
None	0.010222	0.144345	0.040818	0.035128	0.034398	0.020070	0.010190	0.003108	0.002590	0.001112	0.001886	0.010458	0.075101	0.025869	0.209834	0.374869
of	0.020344	0.085941	0.043818	0.078224	0.030765	0.039059	0.049519	0.005561	0.005327	0.001960	0.006061	0.019263	0.033476	0.043497	0.176350	0.360837
the	0.021707	0.081813	0.023919	0.142216	0.065889	0.057154	0.050173	0.013186	0.006911	0.010448	0.015872	0.038007	0.034833	0.068129	0.170375	0.199368
original	0.010759	0.159533	0.021019	0.074109	0.101563	0.044962	0.035881	0.010163	0.013584	0.003789	0.007030	0.028144	0.067750	0.101685	0.081430	0.238599
buildings	0.021899	0.049198	0.020509	0.089431	0.082549	0.109830	0.039507	0.007892	0.035992	0.003250	0.011620	0.014571	0.030805	0.037555	0.080990	0.364402
in	0.012597	0.014328	0.014603	0.023289	0.025065	0.068151	0.158681	0.011189	0.008925	0.005670	0.010312	0.064728	0.023028	0.086976	0.090902	0.381556
En	0.012495	0.060640	0.002910	0.011732	0.010068	0.011280	0.014343	0.212119	0.054348	0.061847	0.042855	0.021585	0.005240	0.006367	0.029961	0.442210
##ga	0.006061	0.019327	0.003139	0.005626	0.002940	0.019697	0.006103	0.317114	0.088131	0.201344	0.048737	0.006098	0.003895	0.002543	0.022566	0.246679
##ku	0.006580	0.007510	0.000682	0.004281	0.003068	0.002860	0.002901	0.140880	0.250228	0.078513	0.127867	0.008244	0.005873	0.004826	0.010847	0.344839
##ji	0.011103	0.012370	0.001518	0.006273	0.003766	0.007054	0.005537	0.076335	0.121638	0.177593	0.146765	0.010874	0.003437	0.003672	0.021237	0.390828
are	0.019807	0.040282	0.006181	0.013188	0.016363	0.066122	0.017112	0.006754	0.008094	0.007939	0.008681	0.082786	0.095330	0.182746	0.167940	0.260674
still	0.009304	0.033313	0.005368	0.007431	0.025326	0.043701	0.008786	0.004192	0.011768	0.002208	0.001888	0.135788	0.051903	0.077025	0.283524	0.298473
remaining	0.016809	0.026536	0.006236	0.007740	0.035491	0.054161	0.021524	0.009351	0.018458	0.008952	0.020991	0.102077	0.086191	0.149627	0.151832	0.284023
.	0.012332	0.014364	0.003696	0.010753	0.024523	0.057024	0.023911	0.019543	0.044051	0.008847	0.015214	0.028865	0.020699	0.038903	0.071842	0.605433
[SEP]	0.012400	0.003225	0.000286	0.000436	0.001249	0.002291	0.001325	0.002356	0.006643	0.002705	0.003802	0.002775	0.007068	0.003542	0.015179	0.934720
