TOKEN	[CLS]	None	of	the	original	buildings	in	En	##ga	##ku	##ji	are	still	remaining	.	[SEP]
[CLS]	0.073027	0.001526	0.002050	0.003774	0.005078	0.024711	0.056845	0.001894	0.000980	0.001241	0.007000	0.001509	0.003087	0.001611	0.024510	0.791156
None	0.001384	0.089602	0.013583	0.023595	0.088638	0.073482	0.030204	0.003080	0.001720	0.002879	0.007332	0.023169	0.069174	0.039768	0.145497	0.386892
of	0.002236	0.116750	0.024610	0.042621	0.070564	0.015593	0.033595	0.001671	0.000813	0.001529	0.001753	0.233738	0.168861	0.074035	0.107436	0.104195
the	0.001158	0.079754	0.017589	0.056259	0.080724	0.034938	0.070292	0.002384	0.000741	0.001344	0.002392	0.252322	0.173095	0.110653	0.074842	0.041515
original	0.005353	0.056608	0.011069	0.036780	0.039545	0.008585	0.038944	0.001604	0.000179	0.000516	0.001638	0.323367	0.169474	0.165186	0.092814	0.048338
buildings	0.013001	0.034514	0.046277	0.064738	0.030157	0.022133	0.045344	0.004283	0.001915	0.000899	0.002371	0.068545	0.012974	0.023638	0.100255	0.528957
in	0.013021	0.037934	0.021276	0.049289	0.065668	0.065642	0.152020	0.004212	0.001818	0.004133	0.009279	0.155720	0.063003	0.099442	0.086490	0.171053
En	0.008829	0.004867	0.004616	0.011464	0.008454	0.035509	0.084524	0.059327	0.015970	0.022351	0.074373	0.009573	0.007622	0.012582	0.043285	0.596653
##ga	0.001365	0.000848	0.000542	0.001363	0.000447	0.003526	0.010067	0.045434	0.057993	0.019128	0.036618	0.001981	0.000380	0.000631	0.006706	0.812973
##ku	0.008443	0.001916	0.000607	0.003268	0.002161	0.009265	0.048503	0.030729	0.019242	0.015965	0.035767	0.004094	0.002682	0.002629	0.017487	0.797241
##ji	0.015537	0.006493	0.001656	0.006811	0.006666	0.033826	0.034170	0.018228	0.015564	0.005408	0.018097	0.007297	0.006173	0.002733	0.029074	0.792267
are	0.002033	0.089755	0.026112	0.043404	0.098867	0.043389	0.042488	0.004386	0.000734	0.001107	0.006480	0.045406	0.085977	0.060244	0.278424	0.171193
still	0.004871	0.081318	0.021713	0.043563	0.087588	0.008838	0.020219	0.007670	0.002496	0.001973	0.005311	0.030988	0.057686	0.066976	0.174712	0.384079
remaining	0.012623	0.088478	0.028313	0.067668	0.083621	0.019165	0.049351	0.009502	0.002802	0.002482	0.005553	0.044358	0.087620	0.067553	0.130190	0.300721
.	0.001980	0.008085	0.002363	0.009539	0.024960	0.021199	0.053045	0.005975	0.003953	0.003911	0.012522	0.006364	0.016786	0.016016	0.018256	0.795047
[SEP]	0.007981	0.002326	0.001181	0.002146	0.005229	0.008050	0.011446	0.013459	0.014651	0.012796	0.014805	0.004074	0.003942	0.006524	0.004649	0.886742
