TOKEN	[CLS]	None	of	the	original	buildings	in	En	##ga	##ku	##ji	are	still	remaining	.	[SEP]
[CLS]	0.108230	0.078780	0.006543	0.023194	0.019681	0.049382	0.013063	0.001965	0.001762	0.002840	0.008579	0.055368	0.029586	0.032009	0.043709	0.525312
None	0.043718	0.197493	0.042670	0.044617	0.003257	0.003407	0.002893	0.000925	0.002269	0.000368	0.000211	0.041460	0.014574	0.031299	0.114316	0.456524
of	0.039562	0.349936	0.020786	0.025225	0.009169	0.003834	0.005477	0.000856	0.001661	0.000698	0.001002	0.072686	0.048642	0.101362	0.129765	0.189337
the	0.023643	0.386187	0.019624	0.026387	0.033935	0.008116	0.009414	0.000742	0.002438	0.001330	0.002063	0.137124	0.049643	0.073218	0.100437	0.125698
original	0.011406	0.308990	0.040843	0.038215	0.021899	0.004989	0.013240	0.000772	0.000960	0.000764	0.000967	0.063566	0.112048	0.161851	0.098039	0.121451
buildings	0.023861	0.056863	0.018682	0.056401	0.072618	0.080344	0.260219	0.001343	0.011491	0.005472	0.015476	0.038080	0.121496	0.143144	0.054805	0.039705
in	0.025813	0.136716	0.017446	0.059896	0.109313	0.059820	0.083021	0.004243	0.006838	0.001882	0.011901	0.129380	0.145038	0.075972	0.076306	0.056416
En	0.032932	0.002102	0.002060	0.006916	0.003325	0.022785	0.164583	0.008725	0.011025	0.004863	0.031696	0.003157	0.004966	0.000604	0.016829	0.683432
##ga	0.018650	0.015001	0.005068	0.013868	0.013351	0.009852	0.072501	0.055315	0.006694	0.010045	0.022104	0.028634	0.030671	0.007310	0.034623	0.656313
##ku	0.013114	0.005626	0.003317	0.008911	0.014863	0.092597	0.198137	0.007613	0.040171	0.012483	0.155913	0.020987	0.010512	0.004050	0.016448	0.395258
##ji	0.018169	0.005547	0.007472	0.013172	0.009689	0.026100	0.248334	0.004359	0.004600	0.004484	0.019117	0.033820	0.015986	0.006300	0.018966	0.563884
are	0.070946	0.288901	0.087889	0.034988	0.006941	0.005951	0.029301	0.001827	0.004670	0.001369	0.002244	0.020190	0.016371	0.016915	0.129637	0.281860
still	0.059579	0.234244	0.054447	0.049516	0.003500	0.002243	0.007029	0.000889	0.002928	0.000601	0.000787	0.126320	0.032568	0.036523	0.078184	0.310643
remaining	0.036296	0.157197	0.045339	0.039402	0.003146	0.001104	0.004188	0.000856	0.001603	0.000073	0.000162	0.029981	0.028820	0.009843	0.083563	0.558427
.	0.058070	0.272404	0.035560	0.101862	0.022978	0.012479	0.007123	0.008358	0.002016	0.001839	0.005444	0.120149	0.034415	0.020337	0.088091	0.208873
[SEP]	0.001358	0.000748	0.000209	0.000150	0.000414	0.000750	0.000615	0.000559	0.000494	0.000207	0.000133	0.000411	0.000166	0.000082	0.001284	0.992422
