TOKEN	[CLS]	None	of	the	original	buildings	in	En	##ga	##ku	##ji	are	still	remaining	.	[SEP]
[CLS]	0.026939	0.001834	0.002276	0.003576	0.001704	0.005304	0.006534	0.024545	0.031231	0.024837	0.025510	0.003386	0.001107	0.002016	0.385815	0.453385
None	0.003388	0.023959	0.006202	0.009525	0.007604	0.003404	0.009044	0.007306	0.001591	0.003395	0.006284	0.042847	0.023485	0.010787	0.386163	0.455016
of	0.009929	0.019474	0.093546	0.053745	0.071971	0.022212	0.017356	0.006553	0.002109	0.004126	0.011354	0.021848	0.025897	0.063001	0.267772	0.309108
the	0.016959	0.014489	0.041619	0.069459	0.086129	0.022627	0.024948	0.007608	0.003586	0.008973	0.029755	0.025775	0.021640	0.060672	0.262298	0.303463
original	0.018939	0.006930	0.019967	0.030614	0.497819	0.074188	0.029724	0.009783	0.001503	0.006244	0.020221	0.009066	0.008703	0.059277	0.097094	0.109926
buildings	0.020014	0.004424	0.006267	0.009700	0.032238	0.553168	0.012440	0.006145	0.010169	0.009049	0.025425	0.008713	0.004848	0.021925	0.127894	0.147581
in	0.023480	0.016284	0.013707	0.021799	0.078034	0.033272	0.299336	0.046475	0.003537	0.024471	0.091921	0.019208	0.018435	0.035722	0.129354	0.144964
En	0.005196	0.003979	0.003001	0.003080	0.005395	0.005035	0.021000	0.515354	0.013697	0.043351	0.080596	0.005811	0.003924	0.002931	0.134114	0.153537
##ga	0.002843	0.000730	0.000542	0.001002	0.000625	0.001815	0.001980	0.008373	0.669247	0.078588	0.074264	0.002380	0.000603	0.000591	0.072816	0.083601
##ku	0.009306	0.003270	0.003649	0.003923	0.005118	0.006281	0.016716	0.037314	0.059598	0.343682	0.283735	0.013534	0.005122	0.004032	0.096950	0.107769
##ji	0.010606	0.003759	0.002955	0.004982	0.010753	0.012766	0.014255	0.029781	0.037017	0.123417	0.470373	0.019033	0.009352	0.007898	0.113648	0.129406
are	0.014296	0.012853	0.008885	0.014094	0.016867	0.015972	0.010040	0.005623	0.007658	0.016158	0.048782	0.327547	0.053578	0.056340	0.181008	0.210299
still	0.014248	0.050228	0.013528	0.016941	0.034492	0.018523	0.011214	0.008549	0.003028	0.008627	0.043599	0.141887	0.190002	0.118901	0.150864	0.175369
remaining	0.014931	0.015425	0.022550	0.024645	0.072693	0.044569	0.017126	0.006052	0.001872	0.006199	0.030407	0.054932	0.044463	0.249116	0.181191	0.213828
.	0.042720	0.036490	0.028366	0.032856	0.037521	0.039889	0.048155	0.078918	0.051741	0.065083	0.060283	0.042281	0.030562	0.030417	0.182638	0.192080
[SEP]	0.043368	0.036979	0.029407	0.033973	0.038619	0.041317	0.048685	0.082239	0.054184	0.066676	0.061761	0.043602	0.031353	0.031465	0.173914	0.182459
