TOKEN	[CLS]	None	of	the	original	buildings	in	En	##ga	##ku	##ji	are	still	remaining	.	[SEP]
[CLS]	0.161909	0.036596	0.048414	0.043293	0.045025	0.042018	0.046273	0.009452	0.007357	0.123791	0.092712	0.156235	0.033190	0.059135	0.076188	0.018413
None	0.223568	0.034865	0.156452	0.039191	0.040122	0.022659	0.063941	0.005780	0.002152	0.056009	0.008258	0.099406	0.018340	0.012277	0.135164	0.081816
of	0.385537	0.058184	0.079650	0.042601	0.016011	0.007194	0.033361	0.005888	0.007558	0.047790	0.033082	0.022737	0.007223	0.023241	0.116468	0.113475
the	0.213902	0.052243	0.055117	0.131506	0.019993	0.022590	0.034125	0.013148	0.029592	0.076146	0.064427	0.047445	0.011753	0.022693	0.137788	0.067531
original	0.130569	0.023817	0.020747	0.094170	0.020106	0.336789	0.056622	0.007282	0.010835	0.007913	0.002150	0.045848	0.023328	0.032630	0.059107	0.128086
buildings	0.044263	0.488327	0.051452	0.062962	0.018348	0.027452	0.090881	0.020961	0.020423	0.014096	0.014663	0.057787	0.003996	0.008484	0.042595	0.033310
in	0.193275	0.034520	0.059909	0.093266	0.029660	0.039231	0.163663	0.023954	0.028508	0.021189	0.018333	0.026588	0.012022	0.019277	0.167050	0.069556
En	0.510418	0.000505	0.007814	0.025747	0.001182	0.006233	0.003515	0.002151	0.010257	0.014241	0.004895	0.006345	0.002012	0.003776	0.143063	0.257845
##ga	0.683432	0.000252	0.002297	0.004904	0.001205	0.001747	0.000905	0.000808	0.001439	0.003179	0.000887	0.001660	0.001022	0.001555	0.142502	0.152206
##ku	0.635316	0.000209	0.001141	0.008838	0.001216	0.002589	0.004105	0.002726	0.012808	0.005750	0.002635	0.000475	0.000102	0.000548	0.092253	0.229289
##ji	0.597450	0.004121	0.004051	0.042459	0.004524	0.016583	0.006014	0.002698	0.002708	0.002009	0.000342	0.019211	0.001343	0.003638	0.222997	0.069853
are	0.185377	0.078822	0.046158	0.075269	0.014654	0.104950	0.086603	0.017528	0.005470	0.021513	0.012127	0.051515	0.010305	0.030899	0.213788	0.045023
still	0.117273	0.021222	0.032583	0.024714	0.047264	0.174567	0.076330	0.004317	0.002637	0.006615	0.003749	0.168983	0.045422	0.112372	0.111215	0.050738
remaining	0.067187	0.037998	0.038793	0.031336	0.051336	0.202092	0.179932	0.012649	0.006190	0.002760	0.001277	0.108739	0.047158	0.023608	0.119631	0.069315
.	0.144608	0.076294	0.059478	0.046685	0.020055	0.040265	0.048135	0.031926	0.004848	0.060167	0.031780	0.140058	0.046027	0.062566	0.136727	0.050382
[SEP]	0.173048	0.001836	0.004930	0.006897	0.001971	0.004811	0.005325	0.003641	0.002320	0.002290	0.000879	0.003178	0.001038	0.002234	0.015234	0.770369
