TOKEN	[CLS]	None	of	the	original	buildings	in	En	##ga	##ku	##ji	are	still	remaining	.	[SEP]
[CLS]	0.030513	0.126933	0.021011	0.017894	0.009464	0.016539	0.001182	0.001145	0.000198	0.001488	0.002020	0.026999	0.009344	0.007683	0.336131	0.391455
None	0.004164	0.018051	0.001171	0.001329	0.000767	0.005545	0.002856	0.000080	0.000126	0.000363	0.000495	0.004112	0.001826	0.002525	0.370613	0.585977
of	0.003027	0.003027	0.001276	0.001933	0.002678	0.015401	0.001979	0.000033	0.000088	0.000281	0.000438	0.000751	0.000449	0.003924	0.355984	0.608730
the	0.003597	0.002930	0.000920	0.001601	0.002548	0.007858	0.002442	0.000076	0.000103	0.000461	0.000798	0.000715	0.000735	0.004129	0.352378	0.618710
original	0.002258	0.000824	0.000674	0.001263	0.005243	0.004111	0.002352	0.000140	0.000319	0.001347	0.002043	0.000160	0.000160	0.001106	0.357752	0.620249
buildings	0.005507	0.001826	0.000505	0.000976	0.002527	0.008561	0.001350	0.000210	0.000277	0.000608	0.000927	0.000395	0.000357	0.001733	0.392529	0.581711
in	0.007210	0.003647	0.001733	0.002413	0.008485	0.010341	0.012467	0.001172	0.000411	0.002114	0.009865	0.000833	0.002597	0.006267	0.335418	0.595028
En	0.003362	0.001587	0.000097	0.000125	0.000311	0.000243	0.000985	0.062169	0.008072	0.034698	0.052548	0.000241	0.000195	0.000204	0.326708	0.508456
##ga	0.001340	0.000248	0.000005	0.000017	0.000026	0.000044	0.000204	0.011505	0.006449	0.014900	0.010870	0.000045	0.000059	0.000024	0.363160	0.591105
##ku	0.003265	0.000459	0.000037	0.000076	0.000194	0.000377	0.000589	0.040902	0.040903	0.130599	0.094145	0.000152	0.000126	0.000124	0.270172	0.417879
##ji	0.003977	0.001382	0.000171	0.000298	0.000550	0.001301	0.003115	0.014474	0.018051	0.082728	0.096607	0.000628	0.000260	0.000434	0.313614	0.462410
are	0.002434	0.004736	0.000272	0.000294	0.000169	0.000742	0.000900	0.000070	0.000431	0.000723	0.000815	0.005448	0.002043	0.002352	0.368817	0.609755
still	0.002890	0.011412	0.000722	0.000645	0.000523	0.000816	0.001267	0.000097	0.000271	0.000543	0.000596	0.004390	0.002154	0.003466	0.364976	0.605232
remaining	0.001885	0.002078	0.000501	0.000661	0.000797	0.001325	0.000852	0.000060	0.000205	0.000357	0.000404	0.000948	0.000495	0.002917	0.374005	0.612511
.	0.001935	0.002499	0.000248	0.000300	0.000370	0.000437	0.000364	0.000307	0.000196	0.000649	0.001596	0.000510	0.000717	0.000421	0.360137	0.629314
[SEP]	0.002100	0.002612	0.000284	0.000343	0.000417	0.000505	0.000440	0.000406	0.000263	0.000802	0.001809	0.000574	0.000749	0.000455	0.360477	0.627765
