TOKEN	[CLS]	None	of	the	original	buildings	in	En	##ga	##ku	##ji	are	still	remaining	.	[SEP]
[CLS]	0.017352	0.102490	0.009557	0.045045	0.032559	0.072740	0.068188	0.101303	0.073331	0.024121	0.185653	0.063863	0.068494	0.061863	0.042289	0.031152
None	0.006507	0.065890	0.022847	0.029751	0.090839	0.054595	0.027488	0.003470	0.004528	0.001240	0.006281	0.069050	0.102380	0.149827	0.145455	0.219851
of	0.001689	0.014995	0.026728	0.043604	0.129141	0.076637	0.032380	0.004386	0.004215	0.002478	0.005794	0.062226	0.085083	0.151424	0.100870	0.258351
the	0.001139	0.012557	0.032468	0.058984	0.170757	0.162139	0.052820	0.005099	0.003409	0.002512	0.010484	0.046624	0.099147	0.176395	0.070675	0.094792
original	0.003046	0.008912	0.016519	0.023226	0.056486	0.107196	0.027518	0.007211	0.003775	0.005234	0.017532	0.007784	0.021665	0.034459	0.129109	0.530328
buildings	0.002295	0.013466	0.021108	0.047800	0.075345	0.114705	0.071556	0.008173	0.004192	0.007693	0.017929	0.028276	0.026542	0.066410	0.098934	0.395576
in	0.002335	0.013648	0.028952	0.065669	0.116063	0.297024	0.107479	0.002231	0.001422	0.000958	0.010204	0.047002	0.090120	0.109109	0.044273	0.063509
En	0.002110	0.005935	0.007279	0.008019	0.010008	0.013389	0.068726	0.201477	0.048216	0.112402	0.329996	0.002559	0.003090	0.007529	0.092732	0.086534
##ga	0.002008	0.005304	0.003471	0.004105	0.004849	0.005055	0.025657	0.146584	0.038487	0.151712	0.322764	0.002211	0.002371	0.003873	0.114498	0.167052
##ku	0.002835	0.008816	0.009474	0.006046	0.005249	0.004487	0.016589	0.237758	0.075709	0.095378	0.288174	0.000914	0.001975	0.003270	0.158452	0.084874
##ji	0.002394	0.010209	0.016796	0.011134	0.012655	0.017302	0.032026	0.176912	0.075293	0.125405	0.228209	0.001809	0.003341	0.008686	0.153523	0.124306
are	0.001044	0.010574	0.010775	0.034078	0.070060	0.086760	0.024786	0.007922	0.005526	0.003051	0.026594	0.088605	0.096915	0.337007	0.080095	0.116206
still	0.003569	0.017030	0.018650	0.038408	0.094510	0.101723	0.038172	0.010031	0.005649	0.004842	0.044673	0.052961	0.083437	0.197707	0.096047	0.192589
remaining	0.001663	0.015860	0.028894	0.050386	0.086475	0.125412	0.036408	0.015181	0.007069	0.007644	0.057170	0.052644	0.074604	0.147971	0.109889	0.182730
.	0.002098	0.004909	0.001965	0.003357	0.008486	0.011873	0.006949	0.006140	0.005810	0.004418	0.010750	0.004183	0.005485	0.006338	0.105568	0.811671
[SEP]	0.004568	0.005733	0.002364	0.002785	0.005058	0.008979	0.006348	0.007282	0.005899	0.005236	0.009689	0.003335	0.003871	0.005327	0.160618	0.762907
