TOKEN	[CLS]	None	of	the	original	buildings	in	En	##ga	##ku	##ji	are	still	remaining	.	[SEP]
[CLS]	0.003149	0.019503	0.006397	0.014823	0.101838	0.303510	0.062363	0.015983	0.040127	0.062239	0.215591	0.058370	0.032631	0.040622	0.018363	0.004490
None	0.061394	0.173045	0.052036	0.108980	0.023426	0.009147	0.015647	0.010912	0.009402	0.008962	0.010199	0.026646	0.014617	0.024404	0.092522	0.358660
of	0.117720	0.068073	0.047609	0.042844	0.003253	0.007973	0.015692	0.004150	0.007378	0.003395	0.005654	0.015907	0.005010	0.009816	0.094907	0.550619
the	0.192427	0.066441	0.097804	0.077665	0.006029	0.005999	0.030204	0.009027	0.005389	0.001966	0.003561	0.009609	0.004581	0.004058	0.091298	0.393941
original	0.108337	0.017994	0.026391	0.028795	0.009203	0.011798	0.053436	0.007528	0.011938	0.005215	0.007020	0.006349	0.004243	0.005711	0.076237	0.619805
buildings	0.129792	0.034304	0.016084	0.018591	0.002250	0.002003	0.016259	0.006406	0.003184	0.001644	0.001267	0.001653	0.000820	0.000637	0.120485	0.644622
in	0.098516	0.039975	0.096945	0.073784	0.002892	0.004694	0.025208	0.008681	0.003534	0.001558	0.002022	0.003126	0.001765	0.000380	0.076186	0.560735
En	0.046165	0.053380	0.011975	0.011102	0.000627	0.000166	0.001077	0.000575	0.000250	0.000196	0.000123	0.001640	0.000253	0.000236	0.047145	0.825090
##ga	0.056450	0.010728	0.003148	0.005752	0.000221	0.000116	0.000879	0.000435	0.000149	0.000108	0.000075	0.000479	0.000277	0.000204	0.049614	0.871365
##ku	0.049602	0.012906	0.003679	0.006609	0.001173	0.000347	0.002017	0.001038	0.000235	0.000131	0.000121	0.000291	0.000451	0.000232	0.039085	0.882082
##ji	0.034308	0.013741	0.004208	0.009463	0.001500	0.000557	0.001953	0.001108	0.000548	0.000343	0.000192	0.000301	0.000326	0.000186	0.028419	0.902846
are	0.037959	0.241591	0.256155	0.194706	0.048760	0.021976	0.055115	0.004837	0.001627	0.001028	0.001475	0.020406	0.004543	0.008992	0.077724	0.023106
still	0.030105	0.284772	0.072412	0.031967	0.010492	0.009334	0.043426	0.002245	0.001659	0.001372	0.002939	0.012338	0.003529	0.006759	0.065972	0.420679
remaining	0.078460	0.103070	0.074255	0.035464	0.010915	0.010765	0.050456	0.008823	0.004634	0.002939	0.005518	0.009483	0.011106	0.013903	0.070513	0.509697
.	0.079043	0.142449	0.053218	0.083686	0.022920	0.044399	0.042532	0.039172	0.024864	0.031899	0.015153	0.088234	0.034723	0.022637	0.151316	0.123756
[SEP]	0.017995	0.001951	0.005755	0.007691	0.001779	0.001853	0.002503	0.002309	0.001188	0.004162	0.002110	0.001050	0.003280	0.002881	0.003373	0.940122
