TOKEN	[CLS]	None	of	the	original	buildings	in	En	##ga	##ku	##ji	are	still	remaining	.	[SEP]
[CLS]	0.570009	0.013921	0.023139	0.035027	0.015239	0.016206	0.023620	0.012901	0.014663	0.007490	0.004206	0.019672	0.011739	0.006077	0.039546	0.186545
None	0.828883	0.000463	0.026021	0.011941	0.000258	0.000046	0.000052	0.000000	0.000001	0.000002	0.000002	0.001438	0.000019	0.000066	0.005295	0.125512
of	0.034291	0.945108	0.005058	0.001699	0.000824	0.001550	0.000218	0.000001	0.000004	0.000003	0.000007	0.000061	0.000030	0.000420	0.000702	0.010024
the	0.047542	0.796738	0.113396	0.007031	0.003652	0.004650	0.004332	0.000089	0.000049	0.000017	0.000147	0.000614	0.000161	0.000343	0.004771	0.016468
original	0.166890	0.018070	0.033513	0.512942	0.000915	0.003475	0.024552	0.000733	0.000273	0.000103	0.000047	0.005037	0.000608	0.000339	0.006131	0.226372
buildings	0.386333	0.048781	0.016756	0.256550	0.065532	0.008726	0.023613	0.000530	0.002543	0.000361	0.000017	0.011703	0.001790	0.000444	0.004556	0.171765
in	0.499783	0.005251	0.036281	0.034821	0.010392	0.171657	0.062809	0.001154	0.001058	0.000649	0.000117	0.003079	0.001772	0.001248	0.003791	0.166137
En	0.825641	0.000087	0.003978	0.004687	0.000132	0.002031	0.033928	0.000442	0.000186	0.000919	0.000056	0.000721	0.000002	0.000004	0.007033	0.120152
##ga	0.084739	0.000001	0.000148	0.001152	0.000018	0.000090	0.001953	0.848826	0.000455	0.000813	0.000016	0.000456	0.000005	0.000000	0.000880	0.060448
##ku	0.108576	0.000061	0.001087	0.000636	0.000483	0.013103	0.034782	0.004996	0.716226	0.003674	0.000387	0.012828	0.001084	0.000025	0.002204	0.099847
##ji	0.115944	0.000353	0.001811	0.001391	0.000160	0.015250	0.041784	0.011345	0.103151	0.460264	0.000867	0.026698	0.009190	0.003411	0.015589	0.192794
are	0.561192	0.000115	0.006173	0.004340	0.000113	0.015507	0.027872	0.001463	0.000724	0.000458	0.008251	0.044899	0.007227	0.000493	0.064349	0.256824
still	0.396425	0.000173	0.001320	0.001029	0.000019	0.000135	0.000965	0.000030	0.000482	0.000066	0.001424	0.383818	0.009642	0.003372	0.022198	0.178902
remaining	0.106628	0.000705	0.002585	0.002583	0.000591	0.002073	0.001713	0.000055	0.003311	0.002495	0.001766	0.254208	0.344571	0.021061	0.041576	0.214081
.	0.491828	0.009362	0.006311	0.001574	0.001387	0.007986	0.004075	0.003106	0.001432	0.009174	0.006073	0.058372	0.010330	0.110752	0.114700	0.163535
[SEP]	0.766682	0.005021	0.016955	0.019840	0.001798	0.003262	0.014552	0.003100	0.001238	0.001573	0.000760	0.007906	0.002201	0.001780	0.054695	0.098639
