TOKEN	[CLS]	None	of	the	original	buildings	in	En	##ga	##ku	##ji	are	still	remaining	.	[SEP]
[CLS]	0.129802	0.001952	0.000392	0.001788	0.000695	0.001022	0.002753	0.000108	0.000163	0.000835	0.000724	0.000822	0.000031	0.000056	0.034779	0.824078
None	0.016438	0.000284	0.000208	0.000353	0.000007	0.000021	0.000083	0.000000	0.000000	0.000000	0.000001	0.000043	0.000000	0.000000	0.007624	0.974938
of	0.000011	0.993873	0.003224	0.000463	0.000145	0.000231	0.000034	0.000101	0.000002	0.000000	0.000001	0.000012	0.000004	0.000014	0.000030	0.001856
the	0.002176	0.015317	0.933798	0.011026	0.000933	0.000557	0.004969	0.000915	0.000012	0.000001	0.000045	0.000068	0.000003	0.000019	0.000523	0.029640
original	0.000911	0.001237	0.001201	0.966420	0.003114	0.000654	0.000698	0.000064	0.000003	0.000001	0.000003	0.000012	0.000000	0.000000	0.000034	0.025648
buildings	0.000444	0.001707	0.001208	0.020753	0.915546	0.001623	0.000373	0.001053	0.000183	0.000220	0.000078	0.000175	0.000014	0.000010	0.000037	0.056575
in	0.003170	0.007686	0.000240	0.000715	0.003738	0.751205	0.004366	0.000373	0.002928	0.000519	0.001735	0.001803	0.000007	0.000368	0.000024	0.221122
En	0.043226	0.000243	0.002167	0.003066	0.000143	0.001234	0.513174	0.000340	0.000013	0.000152	0.000565	0.000669	0.000002	0.000020	0.001214	0.433773
##ga	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000004	0.999987	0.000001	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000007
##ku	0.000000	0.000000	0.000000	0.000000	0.000000	0.000006	0.000002	0.000006	0.997850	0.002004	0.000098	0.000030	0.000001	0.000000	0.000000	0.000004
##ji	0.000000	0.000000	0.000000	0.000000	0.000000	0.000006	0.000004	0.000001	0.002069	0.997598	0.000255	0.000040	0.000014	0.000002	0.000001	0.000009
are	0.008080	0.005603	0.000359	0.000151	0.000141	0.013817	0.011357	0.002949	0.002231	0.001744	0.766419	0.017990	0.000141	0.007635	0.002228	0.159156
still	0.001875	0.000267	0.000004	0.000036	0.000012	0.000425	0.000042	0.000034	0.000284	0.002219	0.008637	0.928499	0.001483	0.000986	0.000693	0.054507
remaining	0.001821	0.002029	0.000010	0.000098	0.000233	0.006147	0.000051	0.000034	0.000920	0.019478	0.004033	0.646120	0.177565	0.013528	0.004276	0.123659
.	0.005571	0.001597	0.000076	0.000020	0.000100	0.004584	0.000107	0.000322	0.000123	0.000524	0.001907	0.009902	0.006265	0.730578	0.014044	0.224280
[SEP]	0.471268	0.006767	0.008580	0.019058	0.012624	0.006719	0.015137	0.018131	0.013556	0.006650	0.014466	0.016533	0.006360	0.004890	0.034269	0.344992
