TOKEN	[CLS]	None	of	the	original	buildings	in	En	##ga	##ku	##ji	are	still	remaining	.	[SEP]
[CLS]	0.007212	0.232547	0.011400	0.027940	0.021518	0.028046	0.005863	0.001032	0.000992	0.001537	0.009118	0.023128	0.056068	0.087021	0.287664	0.198913
None	0.012861	0.012096	0.001077	0.001011	0.004413	0.026951	0.002324	0.003210	0.001870	0.019737	0.016224	0.012199	0.047809	0.067160	0.128047	0.643011
of	0.004923	0.025147	0.002441	0.002632	0.022604	0.064446	0.001116	0.000281	0.000392	0.001165	0.001398	0.032485	0.229820	0.492335	0.028490	0.090326
the	0.010438	0.015121	0.002612	0.001426	0.032453	0.072320	0.002304	0.000827	0.000533	0.001888	0.003191	0.014738	0.214509	0.299475	0.047263	0.280901
original	0.005443	0.027575	0.022111	0.013847	0.028554	0.109774	0.006004	0.000487	0.001435	0.002157	0.001625	0.031276	0.086179	0.320975	0.055309	0.287248
buildings	0.013069	0.048960	0.013153	0.019839	0.079771	0.026526	0.003248	0.000738	0.002306	0.002474	0.001534	0.042759	0.221018	0.383889	0.047362	0.093356
in	0.019192	0.085405	0.023696	0.057652	0.148464	0.081190	0.060608	0.001690	0.001047	0.001025	0.004624	0.012967	0.039277	0.093955	0.104757	0.264451
En	0.011126	0.000926	0.001595	0.009226	0.030319	0.053794	0.262361	0.028193	0.039021	0.032127	0.165146	0.001576	0.006860	0.011540	0.043319	0.302874
##ga	0.006650	0.001603	0.001362	0.004292	0.016731	0.058964	0.094864	0.125180	0.011403	0.036706	0.268657	0.001174	0.005668	0.010328	0.045835	0.310582
##ku	0.004906	0.000981	0.002123	0.007647	0.034700	0.053167	0.188138	0.058188	0.026000	0.019256	0.118917	0.000722	0.005926	0.007555	0.036005	0.435769
##ji	0.015397	0.002663	0.002024	0.005422	0.019447	0.054812	0.199246	0.016401	0.030345	0.015992	0.038559	0.002028	0.006549	0.009405	0.073863	0.507847
are	0.008119	0.015715	0.000350	0.000898	0.002135	0.002726	0.001267	0.000585	0.000580	0.003064	0.001817	0.006981	0.039209	0.006947	0.172458	0.737149
still	0.012041	0.011846	0.000619	0.001783	0.001665	0.001657	0.006462	0.001525	0.000522	0.004688	0.002207	0.036398	0.030313	0.006140	0.177187	0.704948
remaining	0.018618	0.030443	0.001798	0.005302	0.006745	0.005117	0.004498	0.000814	0.001211	0.002701	0.001241	0.219335	0.350521	0.035056	0.103408	0.213191
.	0.009926	0.010370	0.001579	0.002895	0.002758	0.007242	0.002389	0.005296	0.000857	0.006396	0.008435	0.003874	0.006549	0.007003	0.194492	0.729939
[SEP]	0.051583	0.023365	0.010145	0.016698	0.013491	0.022807	0.016032	0.035848	0.015794	0.028679	0.034220	0.012018	0.012311	0.013889	0.247194	0.445926
