TOKEN	[CLS]	None	of	the	original	buildings	in	En	##ga	##ku	##ji	are	still	remaining	.	[SEP]
[CLS]	0.008019	0.000724	0.000287	0.000329	0.000567	0.001732	0.022269	0.078284	0.015721	0.040536	0.238276	0.000507	0.000929	0.001027	0.048362	0.542431
None	0.002785	0.031737	0.008356	0.010487	0.048545	0.050274	0.167877	0.064408	0.019949	0.038282	0.148510	0.021302	0.072154	0.051747	0.077678	0.185910
of	0.002576	0.010507	0.002602	0.005961	0.092972	0.042928	0.309927	0.040747	0.028080	0.056735	0.120220	0.006714	0.045097	0.021944	0.044759	0.168230
the	0.001068	0.004925	0.000658	0.001286	0.020158	0.011073	0.173318	0.144511	0.073970	0.164848	0.267089	0.001801	0.016957	0.010221	0.027071	0.081043
original	0.000640	0.000738	0.000520	0.001074	0.004312	0.005358	0.062623	0.196690	0.217399	0.181386	0.130560	0.000475	0.000921	0.001850	0.030265	0.165190
buildings	0.002576	0.002623	0.001305	0.001533	0.008886	0.011675	0.133165	0.119058	0.069818	0.084086	0.127360	0.001618	0.005812	0.004350	0.074239	0.351897
in	0.000994	0.001994	0.000475	0.001349	0.008520	0.005528	0.018038	0.239094	0.110140	0.153320	0.327208	0.001133	0.003062	0.005313	0.018068	0.105765
En	0.000804	0.002907	0.000666	0.000693	0.003623	0.004786	0.014083	0.026356	0.013036	0.039842	0.045909	0.002843	0.005128	0.004241	0.057551	0.777531
##ga	0.000816	0.001279	0.000411	0.000549	0.005568	0.006070	0.014046	0.022415	0.006035	0.019553	0.048989	0.000786	0.000948	0.001125	0.037164	0.834245
##ku	0.000733	0.001872	0.000515	0.000498	0.002620	0.003871	0.013936	0.025201	0.017337	0.015154	0.025035	0.001492	0.002736	0.003303	0.053564	0.832133
##ji	0.002267	0.005045	0.001935	0.001949	0.006951	0.005851	0.017008	0.030664	0.023314	0.020813	0.025024	0.003832	0.005908	0.006767	0.075811	0.766861
are	0.003206	0.014025	0.000765	0.001475	0.015107	0.019429	0.130044	0.032818	0.017775	0.027062	0.131358	0.007859	0.146268	0.122159	0.090844	0.239805
still	0.001910	0.010012	0.000974	0.001466	0.009344	0.010267	0.093881	0.115026	0.077969	0.058696	0.149818	0.005317	0.021913	0.035101	0.088856	0.319450
remaining	0.002620	0.003500	0.000735	0.000932	0.007044	0.008222	0.091168	0.125396	0.089545	0.075736	0.147556	0.004026	0.032231	0.023263	0.079657	0.308369
.	0.001946	0.000699	0.000594	0.000665	0.003361	0.003335	0.012909	0.002067	0.001092	0.002204	0.006535	0.001606	0.004988	0.002768	0.083276	0.871956
[SEP]	0.008836	0.001497	0.002101	0.002164	0.006198	0.006599	0.018394	0.005257	0.004008	0.005262	0.011878	0.003504	0.004979	0.003192	0.119864	0.796267
