TOKEN	[CLS]	None	of	the	original	buildings	in	En	##ga	##ku	##ji	are	still	remaining	.	[SEP]
[CLS]	0.214381	0.015127	0.017325	0.018131	0.062344	0.050871	0.042781	0.040806	0.060933	0.069003	0.025589	0.007306	0.009922	0.023194	0.145429	0.196856
None	0.115801	0.001481	0.018265	0.010489	0.026940	0.017853	0.009812	0.003302	0.003688	0.002723	0.003219	0.002958	0.002702	0.005291	0.367081	0.408394
of	0.046375	0.010520	0.019533	0.012943	0.014221	0.054968	0.037424	0.001124	0.000621	0.001158	0.002195	0.001904	0.001715	0.004736	0.359300	0.431264
the	0.082838	0.011604	0.013061	0.007781	0.010597	0.024096	0.041893	0.002540	0.001339	0.002865	0.005101	0.001072	0.001084	0.003934	0.352093	0.438103
original	0.150470	0.027834	0.013169	0.007885	0.006898	0.019899	0.035604	0.010589	0.005600	0.019017	0.021584	0.001443	0.001121	0.004490	0.301699	0.372698
buildings	0.175650	0.007831	0.023355	0.010652	0.006920	0.031870	0.025425	0.002389	0.003366	0.002469	0.004767	0.000288	0.000411	0.002872	0.306663	0.395071
in	0.081058	0.023680	0.054508	0.037312	0.022979	0.080483	0.029744	0.007437	0.010605	0.016979	0.025257	0.002639	0.002268	0.023948	0.262072	0.319032
En	0.083216	0.000918	0.001894	0.001783	0.007137	0.008023	0.012652	0.076052	0.232206	0.153397	0.093882	0.000453	0.000640	0.001029	0.137039	0.189679
##ga	0.060830	0.001726	0.000649	0.000580	0.001888	0.001632	0.009520	0.177836	0.102525	0.299464	0.104335	0.000461	0.000398	0.000262	0.094792	0.143101
##ku	0.113854	0.000653	0.000407	0.000597	0.003527	0.001847	0.003234	0.109842	0.324010	0.155537	0.078596	0.000820	0.001047	0.000534	0.084799	0.120695
##ji	0.184059	0.001917	0.001660	0.001646	0.005639	0.005967	0.007578	0.059780	0.112987	0.136413	0.043059	0.001149	0.001881	0.002089	0.180520	0.253656
are	0.036639	0.006132	0.009261	0.005985	0.013693	0.009788	0.008455	0.001935	0.002654	0.004128	0.005881	0.003100	0.002334	0.006475	0.403129	0.480413
still	0.090800	0.007475	0.008601	0.005818	0.015709	0.010025	0.012527	0.003639	0.005581	0.006641	0.015386	0.000750	0.000201	0.001297	0.372601	0.442948
remaining	0.056864	0.005040	0.010066	0.004671	0.008905	0.011337	0.016096	0.001900	0.001545	0.002227	0.005071	0.000447	0.000283	0.000886	0.391670	0.482990
.	0.305317	0.067754	0.036990	0.028978	0.025907	0.033347	0.027916	0.060915	0.083720	0.057517	0.049446	0.025607	0.018496	0.020520	0.083831	0.073740
[SEP]	0.286022	0.060034	0.039190	0.029154	0.026159	0.030881	0.027963	0.073918	0.104076	0.064910	0.056434	0.025861	0.018974	0.021002	0.072506	0.062916
