TOKEN	[CLS]	None	of	the	original	buildings	in	En	##ga	##ku	##ji	are	still	remaining	.	[SEP]
[CLS]	0.031533	0.025756	0.018659	0.020615	0.008542	0.010320	0.048878	0.003059	0.002646	0.005865	0.007775	0.038384	0.014247	0.022749	0.051607	0.689365
None	0.035397	0.008445	0.051583	0.026103	0.001573	0.001583	0.008673	0.000083	0.000756	0.000035	0.002088	0.107427	0.009134	0.018457	0.083753	0.644912
of	0.035348	0.431842	0.013691	0.044417	0.005128	0.001237	0.019364	0.000188	0.000356	0.000679	0.000468	0.106495	0.003484	0.011010	0.049850	0.276445
the	0.035357	0.180158	0.048081	0.049782	0.017194	0.008173	0.082474	0.002364	0.003429	0.000375	0.009352	0.048569	0.043908	0.022743	0.058805	0.389239
original	0.048409	0.014034	0.050971	0.173137	0.020157	0.018927	0.076712	0.000618	0.000766	0.000130	0.000815	0.045349	0.197564	0.124697	0.044249	0.183467
buildings	0.068785	0.010266	0.006360	0.034958	0.025872	0.010220	0.185919	0.000052	0.003299	0.000036	0.000667	0.018533	0.006266	0.093910	0.107263	0.427593
in	0.052409	0.010758	0.018126	0.047283	0.007109	0.012678	0.084628	0.000983	0.000800	0.000251	0.000553	0.020432	0.009433	0.013170	0.098554	0.622831
En	0.028366	0.000639	0.007019	0.024434	0.003177	0.005430	0.016468	0.000367	0.211820	0.012040	0.002286	0.005353	0.000136	0.000406	0.080586	0.601472
##ga	0.094404	0.001892	0.002899	0.013740	0.000477	0.001664	0.020541	0.022140	0.001332	0.001876	0.008152	0.002287	0.001240	0.008057	0.186511	0.632788
##ku	0.084990	0.000259	0.001287	0.001727	0.000994	0.000567	0.001296	0.001466	0.375119	0.005368	0.109869	0.001366	0.000025	0.000073	0.139443	0.276152
##ji	0.258800	0.000190	0.005745	0.018885	0.000455	0.004652	0.036258	0.022624	0.002337	0.026687	0.001019	0.020969	0.001583	0.001764	0.263102	0.334931
are	0.034453	0.040437	0.193970	0.062365	0.019580	0.005514	0.122247	0.001431	0.004645	0.000276	0.014728	0.011738	0.065479	0.039354	0.136934	0.246848
still	0.016789	0.007718	0.007726	0.013308	0.001865	0.011691	0.048199	0.000271	0.000226	0.000015	0.000250	0.170329	0.141204	0.470184	0.035938	0.074290
remaining	0.013142	0.001188	0.000629	0.002485	0.001429	0.001519	0.009478	0.000046	0.000014	0.000012	0.000063	0.008215	0.911734	0.010480	0.010641	0.028925
.	0.028473	0.033356	0.014435	0.014193	0.007523	0.011072	0.078738	0.003925	0.001460	0.003341	0.005287	0.162289	0.073284	0.073528	0.050736	0.438361
[SEP]	0.034297	0.005696	0.005706	0.015885	0.005862	0.008703	0.020447	0.002764	0.006742	0.008171	0.016180	0.019013	0.010074	0.008735	0.038708	0.793015
