TOKEN	[CLS]	None	of	the	original	buildings	in	En	##ga	##ku	##ji	are	still	remaining	.	[SEP]
[CLS]	0.009367	0.040846	0.019270	0.021313	0.029110	0.052130	0.039660	0.098558	0.053197	0.100219	0.051670	0.039016	0.016472	0.021438	0.196096	0.211640
None	0.017818	0.080021	0.025036	0.025618	0.020666	0.045800	0.034691	0.027388	0.009922	0.020662	0.027267	0.056473	0.047512	0.034338	0.249049	0.277739
of	0.018582	0.064257	0.042415	0.035460	0.025442	0.032488	0.038853	0.054223	0.025129	0.033483	0.026586	0.035334	0.034940	0.028324	0.241171	0.263314
the	0.016274	0.043214	0.030851	0.021867	0.020577	0.030194	0.035154	0.035149	0.021218	0.026361	0.020789	0.023667	0.029889	0.021074	0.297008	0.326713
original	0.010782	0.025376	0.017557	0.012701	0.014492	0.022530	0.031011	0.030678	0.017861	0.025967	0.017671	0.012225	0.016268	0.012594	0.349948	0.382339
buildings	0.012969	0.029634	0.021379	0.018083	0.017799	0.022159	0.024313	0.036243	0.015152	0.026026	0.018906	0.018719	0.020475	0.019207	0.333558	0.365378
in	0.014928	0.045624	0.060394	0.041634	0.046734	0.046202	0.066588	0.061927	0.038970	0.048831	0.038149	0.035105	0.033492	0.036223	0.186982	0.198218
En	0.007889	0.013984	0.010916	0.008584	0.022311	0.014502	0.023094	0.037467	0.025173	0.036431	0.022910	0.010047	0.010234	0.008683	0.355261	0.392515
##ga	0.007874	0.011823	0.009676	0.008932	0.033101	0.031558	0.028350	0.048897	0.017989	0.033604	0.025001	0.003393	0.004502	0.005580	0.340572	0.389147
##ku	0.012066	0.012922	0.015258	0.017293	0.049139	0.032494	0.040595	0.081578	0.050337	0.055696	0.036765	0.008450	0.010720	0.010447	0.271088	0.295153
##ji	0.015912	0.040816	0.021498	0.015780	0.029641	0.034169	0.028959	0.042569	0.023989	0.037795	0.028944	0.026001	0.019662	0.020519	0.294541	0.319205
are	0.013728	0.114128	0.038720	0.022918	0.014749	0.040388	0.016627	0.011247	0.005554	0.013222	0.013155	0.042928	0.064719	0.045103	0.260184	0.282631
still	0.017596	0.118765	0.035835	0.016831	0.012724	0.024264	0.015260	0.008954	0.005722	0.008396	0.011903	0.037170	0.051579	0.037044	0.286630	0.311327
remaining	0.014212	0.076900	0.034154	0.020691	0.016384	0.028197	0.022423	0.021744	0.008616	0.019199	0.020485	0.036801	0.045692	0.027072	0.287138	0.320292
.	0.076731	0.075984	0.051247	0.055507	0.051530	0.059606	0.065292	0.075795	0.071748	0.071406	0.068341	0.064308	0.060980	0.057680	0.047028	0.046817
[SEP]	0.076122	0.075412	0.052385	0.056601	0.052164	0.059035	0.065027	0.076435	0.074075	0.072465	0.068249	0.064878	0.062112	0.058665	0.043369	0.043006
