TOKEN	[CLS]	None	of	the	original	buildings	in	En	##ga	##ku	##ji	are	still	remaining	.	[SEP]
[CLS]	0.731812	0.014201	0.034721	0.036765	0.009456	0.006792	0.021562	0.017796	0.002911	0.004962	0.002668	0.017560	0.012267	0.007243	0.040762	0.038522
None	0.914768	0.009871	0.053209	0.018415	0.001789	0.000212	0.000636	0.000011	0.000005	0.000012	0.000002	0.000177	0.000054	0.000026	0.000073	0.000739
of	0.260828	0.702383	0.016586	0.015909	0.001932	0.000134	0.000219	0.000002	0.000006	0.000093	0.000001	0.000061	0.000027	0.000858	0.000147	0.000813
the	0.613997	0.189045	0.163126	0.027422	0.001867	0.000306	0.002245	0.000074	0.000005	0.000053	0.000018	0.000016	0.000008	0.000105	0.000807	0.000907
original	0.495419	0.023688	0.160119	0.278794	0.005438	0.000751	0.033506	0.000057	0.000031	0.000011	0.000003	0.000122	0.000008	0.000021	0.000259	0.001775
buildings	0.870484	0.000075	0.012374	0.045246	0.046014	0.011045	0.012325	0.000258	0.000027	0.000011	0.000007	0.000043	0.000058	0.000012	0.000133	0.001889
in	0.820212	0.001651	0.007176	0.014371	0.023157	0.047093	0.075727	0.008521	0.000030	0.000759	0.000020	0.000301	0.000256	0.000223	0.000074	0.000429
En	0.938898	0.000033	0.001789	0.000619	0.000082	0.000491	0.052010	0.002302	0.000284	0.003079	0.000202	0.000077	0.000003	0.000012	0.000050	0.000071
##ga	0.033311	0.000011	0.000327	0.000381	0.000014	0.000159	0.006696	0.956623	0.000025	0.000887	0.001455	0.000030	0.000007	0.000000	0.000015	0.000059
##ku	0.442902	0.000054	0.000252	0.000996	0.003231	0.003571	0.023210	0.439554	0.053564	0.010551	0.002957	0.016684	0.000718	0.000007	0.000228	0.001519
##ji	0.599507	0.000303	0.000436	0.000141	0.000631	0.003673	0.016070	0.209863	0.038990	0.118416	0.002362	0.006988	0.000827	0.000277	0.000802	0.000716
are	0.920765	0.000570	0.000151	0.000182	0.000006	0.000019	0.008097	0.000034	0.000116	0.000178	0.000666	0.043523	0.009455	0.003231	0.009483	0.003526
still	0.375730	0.000261	0.001123	0.000597	0.000015	0.000006	0.002538	0.000034	0.000117	0.000316	0.000566	0.536758	0.013200	0.006350	0.036252	0.026138
remaining	0.240155	0.002071	0.000118	0.000765	0.000096	0.000006	0.000309	0.000007	0.000021	0.000081	0.000197	0.118035	0.522048	0.020377	0.019104	0.076610
.	0.733661	0.000899	0.000585	0.000090	0.000022	0.000020	0.000160	0.000020	0.000028	0.000658	0.000082	0.019247	0.014534	0.054596	0.091129	0.084270
[SEP]	0.870285	0.000149	0.000516	0.000138	0.000005	0.000005	0.000030	0.000043	0.000001	0.000057	0.000405	0.000573	0.001469	0.002763	0.057813	0.065749
