TOKEN	[CLS]	None	of	the	original	buildings	in	En	##ga	##ku	##ji	are	still	remaining	.	[SEP]
[CLS]	0.049910	0.025616	0.004847	0.006840	0.003929	0.026139	0.012711	0.004249	0.001270	0.002766	0.004436	0.007105	0.000958	0.002721	0.028234	0.818270
None	0.019507	0.005473	0.438413	0.271116	0.020994	0.014029	0.005098	0.001097	0.000069	0.001589	0.000535	0.004412	0.000157	0.001501	0.024461	0.191548
of	0.058424	0.024810	0.004962	0.516342	0.147072	0.034742	0.003865	0.008465	0.000167	0.000554	0.000522	0.001251	0.000236	0.000116	0.009906	0.188566
the	0.085158	0.044637	0.001895	0.018195	0.349723	0.224358	0.005498	0.009051	0.001128	0.003005	0.001816	0.001551	0.000758	0.001295	0.005835	0.246096
original	0.027762	0.008294	0.000708	0.002909	0.005930	0.426333	0.024917	0.001040	0.009648	0.014218	0.002290	0.000907	0.000167	0.000370	0.004367	0.470140
buildings	0.045974	0.031182	0.007869	0.012548	0.002772	0.023083	0.277458	0.005453	0.000301	0.025653	0.003400	0.005499	0.000930	0.000796	0.019731	0.537352
in	0.033390	0.001242	0.000129	0.006383	0.005119	0.003479	0.010863	0.103667	0.007396	0.005307	0.003693	0.003356	0.000603	0.000538	0.005115	0.809718
En	0.040902	0.000894	0.000135	0.001190	0.008611	0.009924	0.015999	0.021994	0.425781	0.002435	0.002677	0.017292	0.005135	0.000759	0.002175	0.444098
##ga	0.025099	0.000877	0.000031	0.000050	0.000226	0.003125	0.005579	0.003639	0.001198	0.838591	0.045633	0.007728	0.006128	0.003391	0.001451	0.057255
##ku	0.066169	0.000899	0.000009	0.000062	0.000152	0.001895	0.000890	0.011906	0.003544	0.037496	0.758069	0.009383	0.007910	0.007073	0.006108	0.088434
##ji	0.019145	0.000934	0.000308	0.000221	0.000176	0.000367	0.001487	0.003558	0.000436	0.012374	0.011675	0.046007	0.003928	0.001677	0.005554	0.892152
are	0.043811	0.002668	0.000173	0.001459	0.000456	0.007549	0.001076	0.003617	0.000321	0.011591	0.016888	0.010511	0.085516	0.636158	0.093623	0.084584
still	0.022029	0.000966	0.000254	0.000349	0.000116	0.002329	0.000345	0.000433	0.000135	0.008119	0.007716	0.010192	0.050759	0.755751	0.070682	0.069825
remaining	0.014251	0.000755	0.001090	0.000909	0.000125	0.003937	0.002372	0.000162	0.000037	0.002860	0.003224	0.005669	0.002519	0.004125	0.251438	0.706526
.	0.011500	0.004192	0.000551	0.001135	0.000807	0.000933	0.000610	0.000459	0.000085	0.000171	0.000725	0.001711	0.000394	0.000775	0.019911	0.956041
[SEP]	0.008960	0.006360	0.004352	0.009597	0.003417	0.014025	0.015961	0.003357	0.002017	0.008902	0.003754	0.002059	0.000385	0.001179	0.043223	0.872452
