TOKEN	[CLS]	None	of	the	original	buildings	in	En	##ga	##ku	##ji	are	still	remaining	.	[SEP]
[CLS]	0.028633	0.002517	0.001691	0.001271	0.000699	0.007547	0.000472	0.000721	0.000096	0.000097	0.000649	0.000245	0.000844	0.000263	0.016614	0.937641
None	0.002232	0.011698	0.001142	0.001781	0.001218	0.008901	0.000269	0.001087	0.000260	0.000053	0.000386	0.000420	0.000528	0.000555	0.008158	0.961312
of	0.010540	0.109014	0.019546	0.019733	0.011063	0.153098	0.000824	0.002450	0.000451	0.000041	0.001797	0.003022	0.003333	0.003930	0.029178	0.631980
the	0.011011	0.035461	0.019683	0.018433	0.007672	0.071994	0.001543	0.002321	0.000222	0.000020	0.000334	0.001146	0.000623	0.001045	0.023691	0.804803
original	0.002645	0.002856	0.002863	0.004007	0.003630	0.006194	0.000592	0.000882	0.000065	0.000027	0.000098	0.000311	0.000206	0.000374	0.005886	0.969363
buildings	0.012829	0.014009	0.007487	0.012885	0.007647	0.021088	0.001479	0.003403	0.000423	0.000194	0.000111	0.002777	0.000900	0.000888	0.014403	0.899478
in	0.012993	0.006290	0.004716	0.028402	0.025889	0.082716	0.021463	0.002728	0.000297	0.000188	0.000769	0.000392	0.000653	0.000323	0.007570	0.804610
En	0.008750	0.001034	0.000546	0.000720	0.000539	0.004280	0.001742	0.001999	0.000262	0.000324	0.000358	0.000450	0.000191	0.000191	0.014580	0.964035
##ga	0.004151	0.000241	0.000407	0.000241	0.000055	0.019099	0.000770	0.016651	0.001186	0.000100	0.000102	0.000259	0.000021	0.000022	0.004893	0.951802
##ku	0.003871	0.000073	0.000083	0.000803	0.000206	0.001921	0.000635	0.000733	0.008145	0.000611	0.000044	0.000467	0.000151	0.000026	0.002481	0.979750
##ji	0.002913	0.000131	0.000048	0.000188	0.000247	0.001983	0.002669	0.000944	0.001354	0.007185	0.000840	0.001309	0.002273	0.001441	0.009157	0.967318
are	0.014093	0.004936	0.011467	0.019416	0.004898	0.153051	0.013594	0.002520	0.000734	0.000363	0.001769	0.002923	0.001502	0.003047	0.025765	0.739923
still	0.007619	0.009938	0.000866	0.001855	0.000901	0.004436	0.002042	0.013139	0.001967	0.002506	0.002624	0.006440	0.009553	0.005812	0.023099	0.907203
remaining	0.007349	0.009598	0.002191	0.003961	0.001401	0.038514	0.001437	0.003380	0.000570	0.000532	0.000692	0.009801	0.008595	0.008327	0.057190	0.846463
.	0.055398	0.015058	0.004871	0.003434	0.002219	0.018492	0.001755	0.004196	0.000579	0.001271	0.004753	0.005779	0.029750	0.028250	0.310558	0.513635
[SEP]	0.016045	0.004893	0.002588	0.002406	0.001558	0.009461	0.003720	0.008526	0.002358	0.003775	0.004762	0.003015	0.003213	0.002174	0.048590	0.882918
