TOKEN	[CLS]	None	of	the	original	buildings	in	En	##ga	##ku	##ji	are	still	remaining	.	[SEP]
[CLS]	0.033021	0.094318	0.071428	0.045041	0.034893	0.027371	0.086657	0.077386	0.021159	0.030456	0.045489	0.063271	0.061032	0.072785	0.194217	0.041475
None	0.198320	0.114645	0.049130	0.016209	0.083860	0.044872	0.018854	0.026179	0.019511	0.042004	0.072204	0.056653	0.051756	0.043824	0.029879	0.132099
of	0.070740	0.078100	0.061538	0.049445	0.047412	0.046220	0.036161	0.030209	0.040909	0.069317	0.107620	0.066079	0.038563	0.044664	0.050561	0.162461
the	0.071184	0.092122	0.052326	0.053652	0.059484	0.037286	0.036367	0.030643	0.044503	0.063097	0.145343	0.056676	0.031215	0.036027	0.037766	0.152309
original	0.163427	0.063267	0.086765	0.033404	0.044972	0.032361	0.028935	0.019293	0.035143	0.070012	0.136597	0.068235	0.036009	0.024658	0.028050	0.128873
buildings	0.251761	0.066561	0.025251	0.013126	0.046612	0.081278	0.005455	0.013157	0.043358	0.079869	0.114235	0.095171	0.038458	0.020058	0.012880	0.092770
in	0.082064	0.092547	0.063782	0.050114	0.047973	0.058721	0.038601	0.037550	0.035387	0.066540	0.083642	0.068069	0.041378	0.047970	0.056816	0.128847
En	0.079486	0.127368	0.057478	0.074891	0.073162	0.095264	0.033301	0.049750	0.033627	0.059247	0.078937	0.040158	0.036504	0.054783	0.024465	0.081577
##ga	0.071160	0.067762	0.023894	0.015935	0.094733	0.255838	0.025072	0.034435	0.054571	0.093523	0.087526	0.043835	0.037693	0.034334	0.017321	0.042368
##ku	0.132519	0.074890	0.021307	0.015724	0.077814	0.152195	0.027021	0.060973	0.039310	0.045932	0.157081	0.065166	0.030870	0.030756	0.019832	0.048609
##ji	0.153755	0.063290	0.038694	0.032489	0.067781	0.138954	0.037758	0.044924	0.032084	0.049673	0.069365	0.077191	0.041179	0.040575	0.035980	0.076308
are	0.067839	0.104323	0.051372	0.042556	0.116809	0.085306	0.032757	0.029980	0.044824	0.087631	0.115136	0.056892	0.046436	0.029324	0.024958	0.063858
still	0.082335	0.147678	0.051040	0.026998	0.070297	0.041316	0.047871	0.038630	0.053316	0.071993	0.082091	0.088166	0.027933	0.032871	0.069165	0.068302
remaining	0.096376	0.076308	0.052098	0.028343	0.080364	0.070672	0.032659	0.030146	0.042179	0.084478	0.143324	0.090885	0.051236	0.027897	0.039993	0.053042
.	0.039194	0.075517	0.054361	0.085727	0.059171	0.040200	0.044333	0.040780	0.048721	0.067932	0.102142	0.042125	0.048649	0.055650	0.092954	0.102545
[SEP]	0.050225	0.105157	0.052090	0.130758	0.052795	0.023668	0.046930	0.036148	0.027333	0.033310	0.041802	0.045025	0.054307	0.050908	0.074374	0.175169
