TOKEN	[CLS]	None	of	the	original	buildings	in	En	##ga	##ku	##ji	are	still	remaining	.	[SEP]
[CLS]	0.106253	0.009550	0.017835	0.008477	0.012413	0.035805	0.030023	0.002758	0.002867	0.011030	0.007505	0.007688	0.005279	0.008727	0.029264	0.704525
None	0.026532	0.187416	0.030263	0.016942	0.033736	0.003786	0.006946	0.000680	0.001479	0.000516	0.000447	0.279312	0.057906	0.034665	0.031888	0.287485
of	0.055769	0.226618	0.018114	0.041301	0.021723	0.005480	0.014435	0.000627	0.005922	0.002439	0.002611	0.172246	0.031249	0.025157	0.081923	0.294385
the	0.070427	0.120891	0.016051	0.050689	0.098698	0.044442	0.050068	0.002516	0.004881	0.005186	0.005969	0.095516	0.045278	0.031050	0.065947	0.292389
original	0.075955	0.025743	0.011677	0.047455	0.094077	0.066677	0.111464	0.004356	0.007801	0.034686	0.008741	0.027310	0.110888	0.052649	0.084836	0.235687
buildings	0.107051	0.025912	0.018575	0.046721	0.038854	0.207882	0.338513	0.003042	0.002180	0.005243	0.006116	0.042562	0.004395	0.018054	0.062906	0.071992
in	0.017393	0.011972	0.015245	0.045394	0.043008	0.422899	0.144125	0.011292	0.022447	0.020467	0.033558	0.012754	0.009939	0.017693	0.029514	0.142300
En	0.007119	0.001147	0.001845	0.007042	0.000779	0.001985	0.008008	0.005308	0.050780	0.019735	0.007302	0.000209	0.000680	0.000328	0.027018	0.860714
##ga	0.008104	0.001195	0.000955	0.003523	0.008934	0.037698	0.023112	0.040806	0.007754	0.024610	0.006207	0.000687	0.005422	0.003501	0.003888	0.823603
##ku	0.007461	0.000097	0.001492	0.003661	0.006060	0.011604	0.019348	0.011449	0.023827	0.001926	0.003723	0.000253	0.000623	0.000856	0.026364	0.881257
##ji	0.008581	0.000860	0.004835	0.027589	0.011728	0.020486	0.028739	0.025345	0.077900	0.032715	0.012091	0.001312	0.003259	0.003129	0.025475	0.715956
are	0.030302	0.130791	0.030354	0.076302	0.027988	0.023002	0.015069	0.002915	0.004878	0.005686	0.006053	0.147528	0.064919	0.135841	0.140061	0.158312
still	0.022525	0.045197	0.024471	0.022776	0.046803	0.022682	0.044802	0.003698	0.003260	0.007876	0.005064	0.046755	0.048226	0.068997	0.051749	0.535120
remaining	0.036136	0.126847	0.020598	0.062072	0.083505	0.014858	0.045442	0.002361	0.006334	0.017722	0.006744	0.070155	0.042811	0.072897	0.056353	0.335165
.	0.103967	0.113755	0.012305	0.012149	0.012482	0.015200	0.012699	0.001654	0.004665	0.007898	0.005664	0.058206	0.015696	0.018537	0.043218	0.561905
[SEP]	0.009214	0.000409	0.000226	0.000643	0.000760	0.001986	0.001176	0.000747	0.003108	0.003056	0.000746	0.000233	0.000203	0.000115	0.001428	0.975949
